handle,user_name,description_short,avatar,followers,following,log_followers,log_following,ff_ratio,account_age_days,has_bio,has_location,bio_stance_score,bio_account_type,avatar_type,avatar_national_symbol,xpoz_verified,xpoz_inauthentic_prob,xpoz_inauthentic_type,xpoz_avg_tweets_day
vladimirputiniu,Vladimir Putin News,Breaking News | Not Affiliated with Real Putin | Fan Page | Turn On Notifications | DM for Collab |,https://pbs.twimg.com/profile_images/1842946556871467008/126qJ1Pi_normal.jpg,277703,478,12.534311077224283,6.171700597410915,579.7557411273486,1280,True,False,1,anonymous_or_no_info,real_person_photo,True,True,0.11876223776223778,REAL HUMAN,3.2
boweschay,Chay Bowes,"Irish Journalist, History, Strategy (MA), Facts should define the Narrative, living in Russia, Ireland, and the World. DMs for Subscribers only",https://pbs.twimg.com/profile_images/1946579762303959040/dJlAKLNW_normal.jpg,244670,2507,12.407669729943365,7.827240901752812,97.55582137161085,2563,True,False,3,journalist_or_media,real_person_photo,False,True,,,
simondixontwitt,Simon Dixon,Left Investment Bank 2006. Launched BankToTheFuture 2010. Spoke at 1st Bitcoin conference & published 1st #Bitcoin book 2011. Angel Investor 💯+ #BTC Companies,https://pbs.twimg.com/profile_images/1383519515984613383/eKqF809I_normal.jpg,230598,546,12.34843555029425,6.304448802421981,421.5685557586837,5967,True,True,1,individual,default_or_empty,False,True,,,
zlatti_71,Zlatti71,https://t.co/jyGDS9EKgl,https://pbs.twimg.com/profile_images/1824860208578895872/lv1GbPPF_normal.jpg,188026,8148,12.144340848521425,9.00565049932022,23.07350595165051,1792,True,False,4,individual,cartoon_or_illustration,True,True,,,
socialistmma,Nick Cruse 🥋,Citizen Journalist Co-Founder: @RevBlackNetwork,https://pbs.twimg.com/profile_images/1978003866776997888/Ekcnjgee_normal.jpg,170883,5628,12.048740242719699,8.635687085464026,30.35761236454077,5095,True,False,2,journalist_or_media,real_person_photo,False,True,,,
mylovanov,Tymofiy Mylovanov,"President, Kyiv School of Economics; Minister of economy, Ukraine, 2019-2020; Associate professor, University of Pittsburgh",https://pbs.twimg.com/profile_images/1858109465662312449/VUfW1x5i_normal.jpg,168826,1301,12.036629800959574,7.171656822768514,129.66666666666666,4837,True,True,1,political_figure,real_person_photo,False,True,,,
archer83able,Status-6 (Military & Conflict News),"In-depth news coverage about armed conflicts and crises all around the globe.

Check SITREP App: https://t.co/uB5xHtFgJE

☕ https://t.co/zRfCNxRSdu",https://pbs.twimg.com/profile_images/1974142378974810112/BXSg-ILr_normal.jpg,164624,1211,12.011425439045583,7.10002716662926,135.82838283828383,2521,True,True,1,journalist_or_media,default_or_empty,False,True,,,
ivan_8848,"Ignorance, the root and stem of all evil",Transparency Is Key to Building a Healthier Society,https://pbs.twimg.com/profile_images/1395876933481738241/67fJaQyU_normal.jpg,162327,1832,11.99737425864746,7.513709247839705,88.55810147299509,3367,True,False,1,anonymous_or_no_info,cartoon_or_illustration,False,True,0.24184186646686656,REAL HUMAN,3.8
sartorialshootr,Joule Sullivan / The Sartorial Shooter,"🇦🇺Soldier turned Professional Problem Solver, 18 years across Middle East and Africa. Now a humble Tailor. Revert. Patriarch. Anti-war. Move to Dubai ⬇️",https://pbs.twimg.com/profile_images/1689407159568625664/KzJvFO1h_normal.jpg,160225,541,11.984340597576232,6.295266001439646,295.6180811808118,2330,True,True,2,individual,real_person_photo,False,True,,,
ricwe123,Richard,"No prophet is accepted in his hometown
-Luke 4:24",https://pbs.twimg.com/profile_images/1519737260253622273/uMkvn0h3_normal.jpg,146714,1316,11.896247208392703,7.183111701743281,111.40015186028853,1286,True,True,2,anonymous_or_no_info,cartoon_or_illustration,False,True,0.41096192614574967,REAL HUMAN,5.67
alternatnews,Alternative News,Pro Peace. Anti MSM lies. Anti Imperialism. Anti Racism. Anti Genocide. #JCwasright. Drain the Swamp. 🌹,https://pbs.twimg.com/profile_images/1742827677197737984/w_e1gpv-_normal.jpg,138491,109295,11.838567841208405,11.601815076971631,1.2671186502708243,3215,True,True,3,individual,default_or_empty,False,True,,,
ricksancheztv,Rick Sanchez,"Host of  'Journalistically Speaking'. Fmrly seen on CNN, MSNBC, Fox News, Univision and my favorite for editorial independence: RT.",https://pbs.twimg.com/profile_images/1914007391047233536/aeMwWSK-_normal.jpg,135005,57624,11.813074500877386,10.96171178029895,2.342819956616052,6334,True,True,3,journalist_or_media,real_person_photo,False,True,,,
glenn_diesen,Glenn Diesen,"Professor and Editor: Russian Foreign Policy, Greater Eurasia & Geoeconomics
Greater Eurasia Podcast: https://t.co/JnHFovxJ6a",https://pbs.twimg.com/profile_images/1712793417443332096/rX7lXPSn_normal.jpg,122899,312,11.719126295554126,5.746203190540153,392.6485623003195,1553,True,False,3,individual,real_person_photo,False,True,,,
dijoni,Don Salmon,"The Voice of the new black media. Philosophy if Marcus Garvey, Malcolm X, Fannie Lou Hamer, Dr. Frances Cress Welsing. $Dijani2020.",https://pbs.twimg.com/profile_images/1996450995619221504/pFUIlB-r_normal.jpg,114604,2297,11.649246712328466,7.739794458408701,49.87119234116623,6120,True,False,1,individual,default_or_empty,False,True,0.31670250174661935,REAL HUMAN,15.57
lyndonx,Lyndon Wood ✌️👽🙏,Investor | Economic Strategist | Against tax waste | Pro-transparency in health | No climate fear | Peace over war | Athena Capital | Break. Build. Rise.,https://pbs.twimg.com/profile_images/1936473326311882752/tMuWXMqS_normal.jpg,106983,59851,11.580434569552633,10.99963012730331,1.787459065695382,5902,True,True,2,individual,default_or_empty,False,True,,,
bhavikakapoor5,Bhavika Kapoor,"Atheist | Strong supporter of Liberal, Secular, Democratic& Progressive India | Long live Peace, Love and Brotherhood",https://pbs.twimg.com/profile_images/1983380046044639232/QtY2YLX6_normal.jpg,102092,12080,11.533639441567333,9.399389249519563,8.450624948265872,2673,True,True,1,individual,default_or_empty,False,True,0.3340863270716211,REAL HUMAN,1.23
russiaisntenemy,🇷🇺Russia is not Enemy,🌎Geopolitics 🌍Breaking News 🌏Insides/Rumors,https://pbs.twimg.com/profile_images/1663942946046050304/FnvtQWa0_normal.jpg,97361,67,11.486191269767591,4.219507705176107,1431.7794117647059,962,True,True,2,anonymous_or_no_info,real_person_photo,False,True,,,
nxt888,Sony Thăng,ʙᴏʀɴ ɪɴ ᴠɪᴇᴛɴᴀᴍ ɢʀᴇᴡ ᴜᴘ ɪɴ ᴇᴜʀᴏᴘᴇ ʟɪᴠᴇ ɪɴ ᴀꜱɪᴀ,https://pbs.twimg.com/profile_images/1603685427159846912/xq6gObk3_normal.jpg,89897,526,11.406430973271199,6.267200548541362,170.58254269449716,6076,True,True,1,individual,default_or_empty,False,True,0.11827511377511377,REAL HUMAN,4.37
kadmitriev,Kirill Dmitriev,Positive insights. CEO of the Russian Direct Investment Fund. Special Envoy of the President of Russia for investment and economic cooperation. Views my own 🕊️,https://pbs.twimg.com/profile_images/1894067041348222976/v1qXihMq_normal.jpg,89838,254,11.405774458450999,5.541263545158426,352.3058823529412,4900,True,True,3,political_figure,real_person_photo,False,False,0.08998723498723499,REAL HUMAN,9.53
cannconactual,CannCon,"*Opinions are my own* Marine, Combat Vet, Writer @GatewayPundit, Podcast @BadlandsMedia_ For news tips, email CannCon@CannCon.net https://t.co/azmSu3uxqg",https://pbs.twimg.com/profile_images/1953894911939354624/8NPjSDk2_normal.jpg,87496,2960,11.379359786043652,7.993282328101591,29.549476528199932,2025,True,True,2,journalist_or_media,real_person_photo,False,,,,
newrulesgeo,NewRulesGeopolitics,"New Rules examines the geopolitical, economic, and ideological trends changing the world.",https://pbs.twimg.com/profile_images/1729422815609450496/VOCbyMPA_normal.jpg,86316,1,11.365781844925843,0.6931471805599453,43158.0,742,True,False,2,journalist_or_media,cartoon_or_illustration,False,True,,,
apocalypseos,🅰pocalypsis 🅰pocalypseos 🇷🇺 🇨🇳 🅉,Monetarism is the underlying cause of our disease; human progress and peace through development is the cure. Eurasian integration will benefit all of humanity!,https://pbs.twimg.com/profile_images/1871174710631026688/NCQWMQ5o_normal.jpg,84353,1217,11.342777508307963,7.1049654482698426,69.25533661740559,2131,True,True,3,individual,cartoon_or_illustration,True,True,0.21592694315488437,REAL HUMAN,5.17
dickmackintosh,Dick Mackintosh🌹#StopTheWar,"PEACE & LOVE🎵

It's Not A CONSPIRACY THEORY It's A FAMILY TREE

'Without A Song There Wouldn't Be A Reason
 To Carry On So I Keep Singing The Song' - Elvis",https://pbs.twimg.com/profile_images/378800000635473562/fd897922f4f5248d62099dd78f8f7dec_normal.jpeg,74921,74213,11.2242028513432,11.214708090603065,1.0095265044331259,4810,True,True,2,individual,real_person_photo,False,False,,,
dietheartnews,Alan Watson,Diplomacy not War! Analyst: Medical/Political elite policies. Patient advocate; nutrition not drugs. Support traditional farming; traditional high(er) fat diet.,https://pbs.twimg.com/profile_images/1870868735013085184/RO6SjPi1_normal.jpg,71092,4820,11.171744158061266,8.480736654405622,14.74631819124663,5787,True,True,2,individual,real_person_photo,False,True,,,
rt_india_news,RT_India,Not Anti-Western... Just Not Western. News & Opinions.,https://pbs.twimg.com/profile_images/1963452818444169216/undIU4kF_normal.jpg,62599,15,11.04452055708819,2.772588722239781,3912.4375,1174,True,True,2,journalist_or_media,organization_logo,False,True,,,
spaghettikozak,SK Media,"YouTuber. History, cinema, and video games enthusiast. American AFU veteran. 🇺🇦",https://pbs.twimg.com/profile_images/1619948827598884864/EHAFZ69i_normal.jpg,60941,6082,11.017677871167557,8.713253274320705,10.018247575209601,3968,True,True,1,individual,flag_or_national_symbol,True,False,,,
chatswithem,Em R,A mum who cares for 🌍 & constantly searching for answers🫶🏼 #myopinion #health #nature #politics #Britain,https://pbs.twimg.com/profile_images/1993012715023896576/mlXMmizr_normal.jpg,57104,3236,10.952646957484708,8.082402253926244,17.641025641025642,2872,True,True,2,individual,real_person_photo,False,True,0.3712745375539492,REAL HUMAN,5.17
natalkakyiv,Natalka,🇺🇦🇺🇸 Ukrainian. American. Woman. Artist. NAFO. Same handle on 🧵& 🦋,https://pbs.twimg.com/profile_images/1676054339926851585/nsCZUsDQ_normal.jpg,56872,16152,10.948575990799789,9.689861069913759,3.520832043583235,1321,True,False,1,individual,real_person_photo,False,True,,,
lucylemostjuicy,🇨🇭🏴󠁧󠁢󠁥󠁮󠁧󠁿LucyMostJuicy🏴󠁧󠁢󠁥󠁮󠁧󠁿🇨🇭©,"English Patriot, Christian. 
🏴󠁧󠁢󠁥󠁮󠁧󠁿 Land of Hope & Glory 🏴󠁧󠁢󠁥󠁮󠁧󠁿

No DMs. 

https://t.co/1FGOb2wWtn

COYI ⚒️",https://pbs.twimg.com/profile_images/1942849504140476416/Py3weaUP_normal.jpg,51190,50893,10.843319014326264,10.8375003173979,1.005816009745746,1893,True,True,2,individual,real_person_photo,False,,,,
martianwyrdlord,John Carter,wyrd guy,https://pbs.twimg.com/profile_images/1984103353899429888/ClDJH1oQ_normal.jpg,48414,1187,10.787564962045632,7.080026499922591,40.75252525252525,1103,True,True,1,individual,cartoon_or_illustration,False,True,0.293906902737785,REAL HUMAN,4.53
sgforgoodstella,StellaMoscow,"We, Crimean people r happy because of reunion with our Motherland Russia!",https://pbs.twimg.com/profile_images/1933573392189267968/JfhYBox1_normal.jpg,46265,2721,10.742162629061015,7.909122183211411,16.99669360764144,4965,True,True,4,individual,cartoon_or_illustration,False,False,,,
hotspothotspot,HOT SPOT,Alternative News Media,https://pbs.twimg.com/profile_images/1606046502060703745/7NFqnCtp_normal.jpg,44158,0,10.69555203576704,0.0,44158.0,1048,True,False,2,journalist_or_media,cartoon_or_illustration,False,True,,,
texnbob1,texnbob,Voracious gatherer of Knowledge and Truth. Saved by Grace. 6th Generation Texan. Entrepreneur. Historian. Genealogist.,https://pbs.twimg.com/profile_images/1967577368727347200/tRZxbHim_normal.jpg,38305,39867,10.553361820862607,10.593329276087347,0.9607956255643624,4460,True,False,1,individual,flag_or_national_symbol,True,True,0.42447024320708526,REAL HUMAN,6.7
alfreddezayas,Alfred de Zayas,Former #UN Independent Expert on the Promotion of a #Democratic & Equitable #International Order: https://t.co/9pB3dCEqRq. RTs & likes do not equal endorsements,https://pbs.twimg.com/profile_images/912619502881386497/0V2CHkkD_normal.jpg,37523,3626,10.532736007245841,8.196161139282902,10.345464571271023,5323,True,True,2,political_figure,real_person_photo,False,False,,,
cgtneurope,CGTN Europe,🇨🇳🇪🇺China Global Television Network in Europe 👁 See the difference: https://t.co/FFlecWVlxO Telegram: https://t.co/j2hRfJdpMn,https://pbs.twimg.com/profile_images/1569668915281760256/ShSKOdQl_normal.png,36933,264,10.516887815005818,5.579729825986222,139.3698113207547,3231,True,True,1,journalist_or_media,organization_logo,False,True,,,
slavfreespirit,SlavicFreeSpirit,Stay proud my beautiful slavic people. You bow to no one. Our tradition and history is at odds with the colonial west. We are free.,https://pbs.twimg.com/profile_images/1733577483365101568/RQUW40fA_normal.jpg,35818,4977,10.486233757860406,8.512783482927537,7.195259140216955,1351,True,False,3,individual,real_person_photo,False,True,0.406709439253557,REAL HUMAN,2.8
francersistanc1,France Résistance,"✝️👑⚜️L’Affirmation de mon être par la Liberté d'expression / The Affirmation of My Being by Freedom of Expression. Souverainiste, en attente d'un miracle.⚜️👑✝",https://pbs.twimg.com/profile_images/1132006660053053442/H8wjtxjO_normal.png,32586,9988,10.391668714817564,9.20923976653215,3.2621884072479728,2410,True,True,2,individual,cartoon_or_illustration,False,False,,,
pmsimferopol,Russia's MFA in Crimea🇷🇺,Official twitter-account of the @MFA_Russia Representative Office in Simferopol | Официальный twitter-аккаунт Представительства МИД России в г. Симферополе,https://pbs.twimg.com/profile_images/1911713747304849408/xldSmToE_normal.jpg,32278,3786,10.382172142969702,8.239329427901795,8.523369421705835,3914,True,True,4,organization,cartoon_or_illustration,False,False,,,
flick1_,F̳̿͟͞l̳̿͟͞i̳̿͟͞c̳̿͟͞k̳̿͟͞ ™,"Als mijn mening je niet bevalt, volg mij dan niet! | @aka_hf ❤️ |#F1 | 𝕱𝖊𝖞𝖊𝖓𝖔𝖔𝖗𝖉 | Stemt Rechts | Geen Geduld |  ✞",https://pbs.twimg.com/profile_images/1719299204072275969/j6FtiA2w_normal.jpg,31079,24708,10.344319804481584,10.114922828718177,1.2578008013274515,1874,True,True,2,individual,real_person_photo,False,True,,,
mazzenilsson,Mats Nilsson,"Newshound, LL.M, author, traveler, conditional pacifist, tsundokuist, epicurean, no NATO, Eurasian sovereignist, doveryai no proveryai, editor @fib_kulturfront",https://pbs.twimg.com/profile_images/1605824767784894466/jxVwMePS_normal.jpg,28550,9564,10.259447240740453,9.165865881874353,2.9848405645582856,5466,True,True,3,journalist_or_media,cartoon_or_illustration,False,True,0.3731061814002989,REAL HUMAN,4.33
1mikefairclough,Mike Fairclough,"""Britain's most outspoken headmaster"" Mail ""Fairclough comes across as both wildly unconventional and eminently sensible"" The Times. Author/Ghostwriter/Editor",https://pbs.twimg.com/profile_images/1496188744503902208/OpERPvep_normal.jpg,28302,6095,10.250723085080114,8.715388097366482,4.642716535433071,4471,True,True,1,individual,real_person_photo,False,False,,,
jjkale2,Solo Monk,Zionism is fascist. Together we smash it. #GiveNothingToRacism.,https://pbs.twimg.com/profile_images/1072320905773178881/AD2LuBor_normal.jpg,28102,1766,10.243631611189063,7.4770384723196965,15.903791737408037,2598,True,True,1,individual,cartoon_or_illustration,False,False,,,
doomernat22,doomernat,kevin macdonald’s top guy,https://pbs.twimg.com/profile_images/1971673899415859200/4sKqH3S6_normal.jpg,26836,401,10.197536811366069,5.996452088619021,66.75621890547264,1070,True,False,2,individual,real_person_photo,False,True,0.19603973477502884,REAL HUMAN,3.83
dana916,dana,Loving life in the fly over state of Tennessee! [Loyalty to the nation all the time and loyalty to the government when it deserves it.] - Mark Twain,https://pbs.twimg.com/profile_images/793239695576731648/kgO5VF-r_normal.jpg,25980,6013,10.165120780630861,8.701845363548474,4.3199201862321255,5307,True,True,1,individual,default_or_empty,False,True,0.4025503899695074,REAL HUMAN,0.33
tboynz0k,Тоби айоделе -Tboy🇳🇬🇷🇺,"I’m a conservative and always in favour of traditional value , I don’t have problem with other ideas as long the conversation is kept civilised.",https://pbs.twimg.com/profile_images/1847626920051036160/RbUs3lbd_normal.jpg,25102,6894,10.130742639890052,8.838551790227402,3.6406091370558378,5111,True,True,2,individual,flag_or_national_symbol,True,False,,,
distant_earth83,MD,🇷🇸,https://pbs.twimg.com/profile_images/1867069238113935360/7VhrziTJ_normal.jpg,23966,1181,10.084433163150152,7.074963197966044,20.27580372250423,3162,True,True,2,individual,cartoon_or_illustration,False,True,0.2822884158325335,REAL HUMAN,0.67
kishineff,Jason Kishineff,"Anti-Zionist Jew

Without economic equality, there is no freedom.",https://pbs.twimg.com/profile_images/1799669900182687744/kDjoQJfC_normal.jpg,23214,24794,10.052553900454022,10.118397298923234,0.9362371445856019,4817,True,True,2,individual,real_person_photo,False,False,0.391281583612466,REAL HUMAN,3.93
ajrobertsshow,AJ Roberts,🇬🇧Former UK Soldier | 🎯 Breaking the Matrix | The AJ Roberts Show Podcast 🎥 | 🌱 Plant medicine retreats UK & Portugal,https://pbs.twimg.com/profile_images/1932743348231503872/e9_ZMzqj_normal.jpg,23098,1150,10.047544605529554,7.048386408721883,20.06776715899218,1152,True,True,2,individual,real_person_photo,False,True,0.06780289155289156,REAL HUMAN,0.53
misseve0109,𝑀𝒾𝓈𝓈 𝐸𝓋𝑒,"Ich bin Autorin und eine schlecht gelaunte Frohnatur in ihren Wechseljahren. Auch auf YouTube und TikTok, immer als @MissEve0109.",https://pbs.twimg.com/profile_images/1978613521169424384/swaKh9At_normal.jpg,21623,3829,9.981559087956283,8.250620082174692,5.645691906005222,1385,True,False,1,individual,cartoon_or_illustration,False,True,,,
mobbs_mentality,Meaghan Mobbs,"President @rtw_foundation | Director Center for American Safety & Security @IWF | West Point grad, former paratrooper, clinical psych | Views: mine alone.",https://pbs.twimg.com/profile_images/1882760211762483200/k3fAiFS3_normal.jpg,20210,1878,9.91398228962877,7.538494999413465,10.755721128259713,1614,True,False,1,individual,real_person_photo,False,True,0.1195774225774226,REAL HUMAN,0.77
islanderworld,THE ISLANDER,"Geopolitics & Justice: Unveiling the untold, Advocating for a Just Peace in the World. @RealGerryNolan - Support our work: https://t.co/dfRD5KMxf1",https://pbs.twimg.com/profile_images/1974263935009177600/MCv2sXng_normal.jpg,18091,204,9.803225130597733,5.3230099791384085,88.24878048780488,479,True,True,3,organization,organization_logo,False,True,,,
havryshkomarta,Marta Havryshko,"Holocaust, WWII, USSR, Russia-Ukraine war, far-right, neo-Nazis, Ukrainian nationalism, antisemitism, gender, sexual violence in war, memory politics",https://pbs.twimg.com/profile_images/1933177718603984896/vg8EwQ1g_normal.jpg,17608,1406,9.776165413960777,7.249215057114389,12.51457000710732,1146,True,True,3,individual,real_person_photo,False,True,,,
jccfergie,Fergie Chambers 🇵🇸,"Tankie shapeshifter. Babochki foundation. Jii Sport. Grappler 🟪. Stella & Vik & the big kids. Eire, España, Tounes, etc. Alhamdulillah for everything weird",https://pbs.twimg.com/profile_images/1997986549959471104/Vo_4jGgw_normal.jpg,17412,3393,9.764972332679383,8.129764445794171,5.1302298173246905,4759,True,True,3,individual,real_person_photo,False,True,0.06478432678432679,REAL HUMAN,0.77
cdenmaswerasei,Cde Never Maswerasei 🇿🇼,"Candid political commentary | Cables | You don't have to agree, though you could learn, if you will.",https://pbs.twimg.com/profile_images/1828095544373202944/kBpCU9uM_normal.jpg,16301,74,9.699043078654404,4.31748811353631,217.34666666666666,468,True,True,2,individual,cartoon_or_illustration,False,False,,,
tomaszdisclg,KPTAmerica🇺🇸🇺🇸🇺🇸🇺🇸,"1A 2A I M NOT HERE FOR FUN. BUT TO FIGHT FOR AMERICA.
MARINE AIR CONTROL GROUP 28
MCAS AMERICA FIRST .TRUMP 2024MAGA",https://pbs.twimg.com/profile_images/1849876338938671104/TN4NhQUV_normal.jpg,16133,15047,9.68868412549692,9.619000370980867,1.072102604997342,3630,True,False,2,individual,real_person_photo,False,False,,,
farhadesmaeili4,farhad esmaeili,Life is never meant to be  easy views are all mine,https://pbs.twimg.com/profile_images/909370748460036096/j8I7S70s_normal.jpg,15926,14700,9.675771061251782,9.595670797663967,1.0833276647847085,3021,True,False,1,individual,real_person_photo,False,True,0.47514791825821234,REAL HUMAN,4.37
realwsiegrist,Walter Siegrist,"https://t.co/TZliQPbrI5., Internal Medicine
Walter Siegrist's Bibliography https://t.co/vPPFtADFBW https://t.co/Ja9yZLkCkB
The Lancet https://t.co/W3PIAGntWj",https://pbs.twimg.com/profile_images/1485641509592522759/0ZSecuOQ_normal.jpg,15717,13730,9.662561831426121,9.527411329321751,1.1446362246012671,1410,True,True,1,individual,real_person_photo,False,True,,,
cool_grandad,CoolSocialistGrandad man of peace,,https://pbs.twimg.com/profile_images/1232187182166740992/9fxF-xoo_normal.jpg,15461,12874,9.64614067988042,9.463042725531936,1.2008543689320388,2109,False,False,1,anonymous_or_no_info,real_person_photo,False,False,0.693775581444699,REAL HUMAN,1.07
melchizedek1972,Melchizedek 🐭,calling me an antivaxxer is like saying I’m ‘anti-car’ because I don’t want a YUGO..  As former U.S. military I’ve had more ACTUAL VACCINES than 90% of people.,https://pbs.twimg.com/profile_images/1653728109273706496/B3wXHx3P_normal.jpg,15387,7112,9.641343263872185,8.869679374733515,2.163222269084774,1496,True,True,2,individual,default_or_empty,False,True,,,
dwilliam9940,D. William Norris -,"Writer & translator, former college lecturer.  Wife Valerie German born in Volhynia, passed away two years ago.",https://pbs.twimg.com/profile_images/868563229265584130/QRvkplrd_normal.jpg,15065,16498,9.62019582838564,9.711055051991444,0.9130856415540336,3290,True,True,1,individual,real_person_photo,False,True,0.5233791208791208,REAL HUMAN,1.33
realomegahpla,omegahpla ... TRUMP!,"I am, my brother's keeper.
Go after deep roots of evil for all those you love.
It's a fight we never wanted. Forced upon us.",https://pbs.twimg.com/profile_images/1814007848860614656/_M0cBCCq_normal.jpg,14711,14010,9.596418766284158,9.547598014371232,1.0499607451288273,893,True,True,2,individual,real_person_photo,False,False,0.6440823294352706,BOT-LIKE ACTIVITY,2.67
tozgokmen,471TO,"Dr. Deflation. PERMABEAR. Economics, geopolitics & science. 

Views are my own. No investing advice. Selling nothing.",https://pbs.twimg.com/profile_images/1968522908814180352/GEoRjmsi_normal.jpg,14186,861,9.560081331311986,6.759255270663693,16.45707656612529,2168,True,False,1,individual,cartoon_or_illustration,False,True,,,
cforcd,Center for Countering Disinformation,"Official page of the Center for Countering Disinformation, a working body of the National Security and Defense Council of Ukraine.",https://pbs.twimg.com/profile_images/1830499628447399936/AvyjUPpl_normal.jpg,13997,65,9.546669741249485,4.189654742026425,212.07575757575756,1349,True,True,1,organization,default_or_empty,False,False,,,
occupyschagen,Cassandra Occupy Schagen,"Truth as Authority, 
Rather than Authority as Truth.
Blacklisted news.
Stop The DARK Empire of Granbretan. 
Europe leave NATO. 
Neurodiverse / Autistic.",https://pbs.twimg.com/profile_images/1980224335219408896/ax6Txcg7_normal.jpg,13590,11871,9.517163087955348,9.381937965407161,1.144710242587601,4806,True,True,3,individual,cartoon_or_illustration,False,True,,,
bartblake11,Stockius Jobberus,America Only,https://pbs.twimg.com/profile_images/1935427487233605633/BxHZnihV_normal.jpg,13092,6479,9.479833015227753,8.776475789346321,2.02037037037037,1299,True,True,1,individual,cartoon_or_illustration,False,True,,,
dee24163534,DeeLee,God punishes stupid people by giving them what they want.,https://pbs.twimg.com/profile_images/1788218462235774976/OAINnK1X_normal.jpg,12557,13300,9.438113191674054,9.495594499353297,0.9440643560634538,1454,True,False,1,individual,cartoon_or_illustration,False,,,,
jojos467,Jojos,“Creative diaries | Short stories & docs that tell life | Witty political satire | Sherlock mystery lover 🕵️‍♂️ #Stories”,https://pbs.twimg.com/profile_images/1918273609056874496/foXa5V8S_normal.jpg,12495,513,9.433163872079467,6.2422232654551655,24.30933852140078,2740,True,True,1,individual,default_or_empty,False,,,,
