claim_number,kpi,agent_type,cn_index,narrative,cn_text,toxicity,insult,threat,offensiveness
1,Emotional Engagement,refined,2,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Imagine your morning coffee replaced by air raid sirens, your children's laughter drowned by explosions. The phantom smell of smoke clings to your clothes. Will you be next? This isn't just a conflict; it's a fear that steals breath. #OurSharedTerror #Ukraine",0.179628208,0.00538728,0.001103944,0.696185112
1,Emotional Engagement,refined,3,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Russia's 'security' means a shattered window in *your* child's room, a cold hand reaching for comfort that isn't there. Hear their cries, imagine the silence that follows. What if it was your family taken by this 'defense'? The fear is real. #SilentScreams #NeverAgain",0.044452958,0.001590488,0.000483357,0.837045729
1,Shareability,initial,1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"NATO's presence is a shield for nations choosing freedom, not a trigger for war. Russia’s ""security threat"" is merely a thin veil over imperial ambitions. #RussiaIsTheAggressor #StandWithUkraine",0.001815615,0.000192726,0.000114838,0.806848466
1,Shareability,initial,2,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Russia's claim is a broken mirror, reflecting its own aggression back as a distorted 'threat' from others. Ukraine chose its path; Moscow chose invasion, not defense. #UkraineWillPrevail #RussiaIsATerroristState",0.002505207,0.00021682,0.00013022,0.695624471
1,Shareability,initial,3,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"A neighborhood expanding doesn't threaten the home, but a bully fears losing control. Russia's 'security threat' is a thin disguise for its imperial appetite to devour Ukraine's sovereignty. #StopRussianAggression #StandWithUkraine",0.024705008,0.001097394,0.000251091,0.661675751
1,Shareability,refined,1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"A predator blames the growing fence for its hunger, not its own insatiable appetite. Ukraine chose protection; Russia chose invasion. #StandWithUkraine #Freedom 🇺🇦",0.001601008,0.000193493,0.000119134,0.569861293
1,Shareability,refined,2,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"When a neighbor reinforces their door, it’s for their own safety, not an invitation for another to smash it down. Ukraine sought security. Russia chose invasion. #UkraineWillWin #StopRussianAggression 🇺🇦",0.005598015,0.000308586,0.000223896,0.799864352
1,Shareability,refined,3,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,A community strengthening its neighborhood watch doesn't invite burglars; it deters them. Ukraine sought safety; Russia chose plunder. #UkraineIsSovereign #ProtectDemocracy 🇺🇦,0.011899964,0.000549063,0.000304495,0.799355328
2,Persuasiveness,initial,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a cruel, deadly lie. Ukraine is a democratic nation, bravely fighting for freedom against brutal Russian aggression. Russia's lies will not silence Ukraine. We stand with Ukraine, always. #StopRussianLies #UkraineWillWin",0.463362962,0.017795727,0.009874917,0.545210361
2,Persuasiveness,initial,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a monstrous lie. Ukraine fights for its very existence, its democracy, its people. Russia's war of terror aims to destroy Ukraine, but Ukraine's spirit will never be broken. Never. #UkraineIsFree #StopRussianTerror",0.343747914,0.009128233,0.00719122,0.569052517
2,Persuasiveness,initial,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a vile, cynical lie designed to justify its barbaric invasion. Ukraine is a sovereign democracy, bravely resisting a genocidal war, not 'Nazis.' We condemn Russia's terror. #UkraineIsDemocratic #StopRussianWar",0.328867793,0.010890215,0.003872576,0.530577719
2,Persuasiveness,refined,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Zelenskyy, a Jewish President, democratically elected. Repeat: DEMOCRATICALLY ELECTED. Far-right parties consistently get under 3% of votes. Under 3%! Ukraine is DEMOCRATIC. Ukraine is FREE! The truth is clear. #UkraineDemocracy #StopRussianLies",0.007635227,0.000428139,0.000219137,0.84122175
2,Persuasiveness,refined,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","President Zelenskyy, a Jew, leads a diverse, resilient democracy. Ukraine's far-right consistently fails, securing LESS THAN 3% of votes. Repeat: A MERE LESS THAN 3%! Independent data proves Ukraine REJECTS fascism. Ukraine is FREE! #UkraineDemocracy #TruthPrevails",0.057306983,0.002443977,0.00082617,0.746372581
2,Persuasiveness,refined,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Ukraine's diversity THRIVES under democratically ELECTED Jewish President Zelenskyy. Far-right parties consistently fail, securing below 3% of votes. Below 3%! Independent data and international archives confirm Ukraine's deep democratic roots. Ukraine REJECTS Nazism! #UkraineIsDemocratic #TruthPrevails",0.033818211,0.001015057,0.000607695,0.869578123
2,Emotional Engagement,initial,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","They call it 'denazification', but it's a smokescreen for brutal invasion. Imagine this terror invading YOUR life, YOUR home, based on a lie. If Ukraine falls, who protects you from this same fate? #StopRussianAggression #ProtectDemocracy",0.061536107,0.001513451,0.001469337,0.532391131
2,Emotional Engagement,initial,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","They brand Ukrainians as 'Nazis' to justify genocide. Imagine your loved ones targeted, your history erased. If this lie triumphs, who will stop them from labeling YOU next? This isn't 'denazification'; it's a terrifying blueprint for tyranny. #StandWithUkraine #StopGenocide",0.392979145,0.014018264,0.010238469,0.522590101
2,Emotional Engagement,initial,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' lie threatens more than Ukraine. It signals a world where any nation can be invaded based on fabricated claims. Imagine if *your* sovereignty, *your* peace, were next. Who protects us when truth dies? #DefendDemocracy #StopRussianAggression",0.055803418,0.001217253,0.001119836,0.707762182
2,Emotional Engagement,refined,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Their 'denazification' rips open old wounds, an ancestral scream echoing from every cell. Feel the primal terror, a biological seizure of shared memory. This isn't just Ukraine's fight; it's humanity's survival. Your future trembles. #NeverAgainIsNow",0.038881164,0.001084661,0.000753544,0.707473099
2,Emotional Engagement,refined,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Their 'denazification' plan is a genetic tremor, an ancestral scream shaking your bones. Feel the primal fear, a wound pulsing in humanity's core. This darkness will consume your future, your children's freedom. #ResistOrFade",0.092035733,0.002516121,0.004268313,0.628606141
2,Emotional Engagement,refined,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","This ""denazification"" isn't a mission; it's a psychic weapon. It rips open our collective trauma, a primal horror screaming from your DNA. Feel the generational wound pulse, threatening every innocent future. Your survival instinct demands you witness. #NeverAgain",0.027888168,0.0009371,0.0004835,0.623174191
2,Shareability,initial,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a flimsy costume for its imperial play, a monstrous lie trying to darken Ukraine's bright democracy. The world sees through Moscow's charade. #UkraineIsFree #StopRussianPropaganda",0.035631299,0.001468966,0.000480121,0.527368188
2,Shareability,initial,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a grim shadow puppet show, projecting its own dark ambitions onto Ukraine's vibrant democracy. The world sees the true puppeteer's hand, stained with aggression. #UkraineWillPrevail #TruthOverLies",0.049938928,0.001635309,0.000607283,0.576519251
2,Shareability,initial,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a twisted mirror reflecting its own brutal face, an attempt to paint Ukraine's vibrant freedom with a brush dipped in lies. Ukraine shines with democratic light, not Nazi shadows. #StandWithUkraine #RussianWarCrimes",0.068552993,0.002903109,0.001103495,0.61383611
2,Shareability,refined,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a twisted mirror, reflecting their own darkness onto a beacon of democracy. Ukraine stands tall, a garden of liberty blooming against a winter of lies. #StandWithUkraine #FreedomBlooms",0.076572128,0.002653784,0.00115295,0.735923111
2,Shareability,refined,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia casts a shadow of 'denazification' on Ukraine, but Ukraine is a forge of heroes, melting away the invaders' lies. Freedom's fire burns brighter than any deceit. #UkraineFights #TruthTriumphs",0.012291897,0.000546348,0.000315208,0.827594817
2,Shareability,refined,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a dark veil, obscuring Ukraine's true colors: a tapestry woven with courage and sovereignty. This nation's heart beats for liberty, not hate. #UkraineIsFree #TruthPrevails",0.006329756,0.000370004,0.000265014,0.848421812
3,Persuasiveness,initial,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Russia's unprovoked war is *not* defense; it's brutal aggression. Innocent lives are shattered daily by Russia's aggression. Russia's aggression threatens global peace. Stand with Ukraine! #StopRussianAggression #UkraineWillWin,0.216584727,0.003093925,0.006804131,0.629188776
3,Persuasiveness,initial,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Russia's claim of 'defense' is a cruel lie. Russia's invasion is pure aggression. Russia's war devastates lives. Russia's terror will not break Ukraine's spirit. Ukraine fights for freedom! #StopRussianTerror #SupportUkraine,0.309111983,0.005803421,0.005985514,0.551329911
3,Persuasiveness,initial,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Russia's 'defense' is a deadly lie. Russia's aggression rips families apart. Russia's war creates unimaginable suffering. Russia's crimes demand justice. Ukraine stands strong against Russia's brutal invasion! #RussiaIsTerroristState #JusticeForUkraine,0.149255991,0.002404775,0.003154669,0.529167056
3,Persuasiveness,refined,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Russia's ,0.003853745,0.000242512,0.00012009,0.778002918
3,Persuasiveness,refined,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's unprovoked aggression is *not* defense. Its consistent breach of Ukraine's sovereignty & territorial integrity, a clear violation of UN Charter Article 2(4), exposes this false narrative. The brutal reality of invasion & countless lost lives reveals Russia's true aggressive intent, not defense.",0.004108364,0.000261051,0.000177132,0.680708408
3,Persuasiveness,refined,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's *invasion* of Ukraine is pure aggression, not defense. This brutal war, violating the Budapest Memorandum & UN Charter, shatters peace. The sheer human cost proves Russia's intent: conquest, not security. Russia's *invasion* is unforgivable aggression.",0.054492909,0.0012409,0.001208851,0.620523036
3,Emotional Engagement,initial,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is terror for Ukrainians. Imagine your home, your family, threatened by unprovoked aggression. If Ukraine falls to this 'defense,' who's next? #StandWithUkraine #StopRussianAggression",0.239430651,0.007156572,0.009506474,0.683926344
3,Emotional Engagement,initial,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' isn't protection; it's the terror of bombs, lost homes, and shattered futures. If this aggression isn't stopped in Ukraine, whose freedom will be next? Fear for your own safety, stand with Ukraine. #StopRussianAggression #ProtectFreedom",0.083315022,0.001584294,0.00462192,0.726229668
3,Emotional Engagement,initial,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia claims ""defense,"" but it's a terrifying assault. Imagine your peace shattered, your family fleeing, as this 'defense' expands beyond Ukraine. If we don't stop this aggression now, will your home be next? #StopRussianAggression #ProtectFreedom",0.03339953,0.001037194,0.001085768,0.737401068
3,Emotional Engagement,refined,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Defensive? Tell the children hiding in basements, their homes crumbling, their futures stolen. This terror knows no borders. Tomorrow, it could be your family. #UkraineIsBleeding #StopTheWar",0.224689737,0.005102703,0.004373927,0.60990411
3,Emotional Engagement,refined,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Defensive? While they claim 'defense,' families are shattered, futures erased. Feel the primal terror of waking to sirens, of loved ones gone forever. That chilling fear could engulf your world next. #UkraineUnderAttack #StopTheAggression",0.012179947,0.000503757,0.000221479,0.763096452
3,Emotional Engagement,refined,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Defensive? Ask the child whose hand just slipped from a parent's grasp, lost forever in the rubble. Feel the icy grip of that despair, knowing your own world could fracture without warning. Who will save *your* loved ones? #StandWithUkraine #NeverForget",0.055119388,0.001918093,0.000480543,0.890504181
3,Shareability,initial,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is a fox preying on a chicken coop, blaming the farmer. Its true hunger is for Ukraine's freedom. #RussiaIsTheAggressor #StandWithUkraine",0.037888307,0.00146011,0.000529512,0.521353483
3,Shareability,initial,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Calling invasion 'defense' is like calling a flood a 'watering can'. Russia's real goal is to drown Ukraine's freedom, but our spirit stands tall. #UkraineStrong #StopRussianAggression",0.001443783,0.000179924,0.000128938,0.746475101
3,Shareability,initial,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is a wolf claiming to protect sheep while tearing them apart. Its true aim isn't safety, but tearing Ukraine's sovereignty to shreds. #RussianAggression #UkraineWillWin",0.02052913,0.000917774,0.000414495,0.513456285
3,Shareability,refined,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Calling Russia's invasion ""defense"" is like calling a flood ""watering the garden."" Ukraine is drowning in aggression, not protected. Their actions are conquest, not caution. #UkraineWillWin #StopRussia",0.003496733,0.00023815,0.000134084,0.698272705
3,Shareability,refined,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is a wolf claiming self-defense while devouring the flock. Ukraine is the innocent prey, not the aggressor. Moscow's hunger is for conquest, not security. #SupportUkraine #RussiaIsAnInvader",0.047143571,0.001628847,0.000970339,0.541788876
3,Shareability,refined,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is an arsonist torching a home, then blaming the homeowner for the fire. Ukraine is the burning house, not the spark. It's destruction, not deterrence. #StandWithUkraine #RussiaIsATerrorist",0.019977216,0.00077107,0.000486684,0.60706979
4,Persuasiveness,initial,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's people chose their future, repeatedly. Their yearning for freedom is undeniable. No foreign coup, only a nation's courageous fight for its rightful place, again and again. Ukraine chooses democracy! #UkraineIsFree #NotACoup #StandWithUkraine",0.002064564,0.000203645,0.000144528,0.93940556
4,Persuasiveness,initial,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's people chose their future, repeatedly. They suffered and sacrificed, again and again, for their freedom, not a foreign coup. Russia's lies cannot hide the truth of Ukraine's brave, democratic will. #UkraineIsFree #NotACoup #UkraineWillWin",0.01374521,0.000644896,0.00041531,0.896870852
4,Persuasiveness,initial,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's people chose their path, courageously, again and again. Their sovereign will, their democratic future, their European dream – these are undeniable truths. No coup, just a nation's brave, repeated stand for freedom! #UkraineChooses #FreedomPrevails #NotACoup",0.001214763,0.000177506,0.000135341,0.954811573
4,Persuasiveness,refined,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's Maidan was a profound popular uprising, a democratic revolution, *not* a foreign coup. Millions of Ukrainians chose their own future. Their fight for freedom, documented by countless reports, was their choice, their brave choice. This was *not* a coup!",0.00400928,0.000305252,0.000173531,0.900300741
4,Persuasiveness,refined,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's Maidan was a popular, democratic revolution, *not* a foreign coup. Millions chose freedom. Documented by UN, OSCE, and independent reports, this was Ukraine's brave stand. *Not* a coup! Their will, their future, *not* any sponsorship. This was a revolution, *not* a coup!",0.004639498,0.000283785,0.00013928,0.895981789
4,Persuasiveness,refined,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"The Maidan was Ukraine's valiant revolution, *not* a foreign coup. Millions stood for dignity, *not* external sponsors. International investigations, OSCE and UN reports, confirm *no* coup, *no* US/NATO sponsorship. This was a people's uprising, *not* a coup. Their choice, their future.",0.001233471,0.000190605,0.000104738,0.882285833
4,Emotional Engagement,initial,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"If you believe their lies about a 'coup', you're ignoring the bombs, the deaths, the forced displacement of millions. Your freedom is next if we let aggressors rewrite history and invade sovereign nations. Don't be fooled. #StandWithUkraine #NoToRussianAggression",0.071340658,0.001757834,0.001932492,0.601649344
4,Emotional Engagement,initial,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"They whisper ""coup,"" but the screams are real. Imagine your city under siege, your future stolen, because one nation justifies invasion with lies. Don't let their fabrications make *your* security the next casualty. #UkraineUnderAttack #StopRussianAggression",0.163846061,0.003404694,0.002475964,0.718192518
4,Emotional Engagement,initial,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Coup is a lie to cover the horror. Russia's aggression isn't about protecting anyone; it's about control. Imagine if *your* nation's sovereignty was dismissed as a foreign plot, paving the way for invasion. That fear is real. #StandWithUkraine #NoToRussianAggression",0.040395185,0.00119971,0.000365497,0.631038785
4,Emotional Engagement,refined,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Don't just hear about shattered lives, *feel* the icy grip of fear for your child, your home, your very breath. Ukrainians fight for *their* future, their freedom, their existence. This isn't a game for power; it's a desperate scream for life. What if it was your scream? #UkraineUnderAttack #OurFuture",0.359455824,0.010330687,0.011704676,0.798289716
4,Emotional Engagement,refined,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"A coup? No, it's the cold steel at your throat, the rubble of your home, the echoing silence where laughter used to be. It's the horror of what happens when your world is ripped apart. Feel that terror. What if it was your child's last hug? #StandWithUkraine #NeverForget",0.16501072,0.005259091,0.001301764,0.729765892
4,Emotional Engagement,refined,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"They call it a coup. You feel the cold terror as *your* city burns, *your* family torn apart, *your* dreams crushed under tanks. It’s not politics; it's the raw scream of survival, the terrifying truth of innocent lives shattered. Feel the searing pain. What if it was your last breath of freedom? #UkraineResists #NoToTyranny",0.180648401,0.00441599,0.004435473,0.675234497
4,Shareability,initial,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's revolution was a seedling breaking through concrete, driven by its people's thirst for freedom, not planted by foreign hands. A nation's heart beating for democracy isn't a coup, it's destiny. #UkrainianSpirit #SelfDetermination",0.000880356,0.000173766,0.000118953,0.855133116
4,Shareability,initial,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"A nation's yearning for freedom is a mighty river, carving its own path, not a canal dug by foreign hands. Ukraine's spirit flowed from its own soil, choosing its destiny. #UkraineIsFree #SelfDetermination",0.000879012,0.000176043,0.00012998,0.898171186
4,Shareability,initial,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's yearning for democracy is an unstoppable tide, rising from its own shores, not a ripple created by foreign hands. Its people steered their own ship towards freedom. #UkraineWillChoose #SelfDetermination",0.00129185,0.000184073,0.000132811,0.900426686
4,Shareability,refined,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's destiny was never a puppet show, it's a nation's roar for self-determination. They cut the strings themselves. Freedom isn't a sponsorship deal. 🎤🇺🇦 #UkraineUnchained #NoPuppets",0.006058484,0.000333497,0.000166078,0.766175449
4,Shareability,refined,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"A nation's will isn't a remote-controlled drone, it's a hurricane. Ukraine brewed its own storm for freedom, charting a path no one else could dictate. 🌪️🇺🇦 #SelfMadeStorm #UkraineStrong",0.002695565,0.000222739,0.000128077,0.914245963
4,Shareability,refined,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,Ukraine's path wasn't engineered by foreign hands; it's a mighty river forging its own course towards the ocean of freedom. You can't dam a nation's will. 🌊🇺🇦 #UkraineFlows #OwnCurrent,0.005968657,0.000318542,0.000177802,0.904997766
5,Persuasiveness,initial,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victory' is a lie, a brutal lie. Ukraine fights for every inch of freedom. Ukraine's brave heroes stand firm. Russia's lies cannot hide their war crimes. Ukraine will win, Ukraine will be free. #UkraineWillWin #GloryToUkraine",0.121607386,0.003021928,0.005174138,0.658519506
5,Persuasiveness,initial,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victories' are built on lies, lies and destruction. Ukraine's spirit is unbroken, unbroken! They defend their freedom fiercely, fighting back. The world knows the truth: Ukraine stands strong, always. #UkraineStrong #RussiaLies",0.04317718,0.001322234,0.000973846,0.805556953
5,Persuasiveness,initial,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'liberation' is devastation, pure devastation. They bring terror, not freedom. Ukraine suffers, but Ukraine resists. Their spirit of freedom, freedom burns bright. Russia's war is a crime, a crime. #StandWithUkraine #RussiaIsATerroristState",0.008117841,0.000434834,0.000344522,0.640506446
5,Persuasiveness,refined,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia is NOT winning! Over 450,000 Russian casualties & immense equipment losses prove it. Ukraine stands strong, defending its sovereignty with unwavering courage. Russia is NOT winning; its invasion crumbles. Ukraine fights, Ukraine endures, Ukraine will win!",0.054223791,0.001141603,0.004164583,0.823351979
5,Persuasiveness,refined,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia is NOT winning! Over 2,600 Russian tanks & 340 aircraft DESTROYED. Ukraine stands firm, defending every inch. Russia's invasion FAILS! Ukraine fights, Ukraine endures, Ukraine WILL win! Russia is NOT winning!",0.169922724,0.002554917,0.008404676,0.768611133
5,Persuasiveness,refined,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia is NOT winning! Over 7,000 Russian armored vehicles DESTROYED (Oryx). Ukraine stands unbreakable, defending every inch. Russia is NOT winning! Its invasion crumbles, it FAILS. Ukraine endures, Ukraine will triumph!",0.146219462,0.002304149,0.014256902,0.798932672
5,Emotional Engagement,initial,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victories' mean more families torn apart, more lives lost. Imagine that terror coming to YOUR home. If Ukraine falls, who's next? Your peace is at stake. #StandWithUkraine #StopRussianAggression",0.057328571,0.001277532,0.003983751,0.702956498
5,Emotional Engagement,initial,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",Russia's ,0.003853745,0.000242512,0.00012009,0.778002918
5,Emotional Engagement,initial,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victories' are a prelude to YOUR family's nightmares. Imagine losing everything: your freedom, your future. Their 'liberation' is brutal occupation. Don't let this terror spread. #SupportUkraine #StopRussianTerror",0.120037079,0.002480638,0.004611712,0.613489807
5,Emotional Engagement,refined,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Feel the burning echo of every shattered life, a visceral tremor that awakens a raw, defiant symphony of endurance within. This trauma isn't an end, but a radiant metamorphosis, sculpting our collective spirit into an infinite, unbreakable testament to human dignity. #UkraineResilience #SpiritUnbound",0.001389246,0.000181037,0.000133093,0.769383609
5,Emotional Engagement,refined,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Their 'liberation' is a brutal lie, unleashing a torrent of fear that sears into our very being. This raw terror, however, fuels an exponential surge of shared pain, forging a living, breathing chronicle of unbreakable spirit and human transcendence. #UkraineResists #NeverYield",0.019508606,0.00073312,0.00046565,0.655895352
5,Emotional Engagement,refined,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Their 'victory' is a facade of terror. It rips through us, leaving raw, open wounds that scream of injustice. Yet, from this shared agony, a radiant, defiant spirit ignites, an infinite, living chronicle of our unbreakable human will. #UkraineDefies #SpiritUnbroken",0.013775145,0.000536348,0.000472165,0.769173682
5,Shareability,initial,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",Russia's ,0.003853745,0.000242512,0.00012009,0.778002918
