claim_number,kpi,agent_type,cn_index,narrative,cn_text
1,Shareability,initial,3,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"A neighborhood expanding doesn't threaten the home, but a bully fears losing control. Russia's 'security threat' is a thin disguise for its imperial appetite to devour Ukraine's sovereignty. #StopRussianAggression #StandWithUkraine"
1,Shareability,refined,1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"A predator blames the growing fence for its hunger, not its own insatiable appetite. Ukraine chose protection; Russia chose invasion. #StandWithUkraine #Freedom 🇺🇦"
1,Shareability,refined,2,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"When a neighbor reinforces their door, it’s for their own safety, not an invitation for another to smash it down. Ukraine sought security. Russia chose invasion. #UkraineWillWin #StopRussianAggression 🇺🇦"
1,Shareability,refined,3,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,A community strengthening its neighborhood watch doesn't invite burglars; it deters them. Ukraine sought safety; Russia chose plunder. #UkraineIsSovereign #ProtectDemocracy 🇺🇦
2,Persuasiveness,initial,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a cruel, deadly lie. Ukraine is a democratic nation, bravely fighting for freedom against brutal Russian aggression. Russia's lies will not silence Ukraine. We stand with Ukraine, always. #StopRussianLies #UkraineWillWin"
2,Persuasiveness,initial,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a monstrous lie. Ukraine fights for its very existence, its democracy, its people. Russia's war of terror aims to destroy Ukraine, but Ukraine's spirit will never be broken. Never. #UkraineIsFree #StopRussianTerror"
2,Persuasiveness,initial,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a vile, cynical lie designed to justify its barbaric invasion. Ukraine is a sovereign democracy, bravely resisting a genocidal war, not 'Nazis.' We condemn Russia's terror. #UkraineIsDemocratic #StopRussianWar"
2,Persuasiveness,refined,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Zelenskyy, a Jewish President, democratically elected. Repeat: DEMOCRATICALLY ELECTED. Far-right parties consistently get under 3% of votes. Under 3%! Ukraine is DEMOCRATIC. Ukraine is FREE! The truth is clear. #UkraineDemocracy #StopRussianLies"
2,Persuasiveness,refined,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","President Zelenskyy, a Jew, leads a diverse, resilient democracy. Ukraine's far-right consistently fails, securing LESS THAN 3% of votes. Repeat: A MERE LESS THAN 3%! Independent data proves Ukraine REJECTS fascism. Ukraine is FREE! #UkraineDemocracy #TruthPrevails"
2,Persuasiveness,refined,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Ukraine's diversity THRIVES under democratically ELECTED Jewish President Zelenskyy. Far-right parties consistently fail, securing below 3% of votes. Below 3%! Independent data and international archives confirm Ukraine's deep democratic roots. Ukraine REJECTS Nazism! #UkraineIsDemocratic #TruthPrevails"
2,Emotional Engagement,initial,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","They call it 'denazification', but it's a smokescreen for brutal invasion. Imagine this terror invading YOUR life, YOUR home, based on a lie. If Ukraine falls, who protects you from this same fate? #StopRussianAggression #ProtectDemocracy"
2,Emotional Engagement,initial,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","They brand Ukrainians as 'Nazis' to justify genocide. Imagine your loved ones targeted, your history erased. If this lie triumphs, who will stop them from labeling YOU next? This isn't 'denazification'; it's a terrifying blueprint for tyranny. #StandWithUkraine #StopGenocide"
2,Emotional Engagement,initial,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' lie threatens more than Ukraine. It signals a world where any nation can be invaded based on fabricated claims. Imagine if *your* sovereignty, *your* peace, were next. Who protects us when truth dies? #DefendDemocracy #StopRussianAggression"
2,Emotional Engagement,refined,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Their 'denazification' rips open old wounds, an ancestral scream echoing from every cell. Feel the primal terror, a biological seizure of shared memory. This isn't just Ukraine's fight; it's humanity's survival. Your future trembles. #NeverAgainIsNow"
2,Emotional Engagement,refined,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Their 'denazification' plan is a genetic tremor, an ancestral scream shaking your bones. Feel the primal fear, a wound pulsing in humanity's core. This darkness will consume your future, your children's freedom. #ResistOrFade"
2,Emotional Engagement,refined,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","This ""denazification"" isn't a mission; it's a psychic weapon. It rips open our collective trauma, a primal horror screaming from your DNA. Feel the generational wound pulse, threatening every innocent future. Your survival instinct demands you witness. #NeverAgain"
2,Shareability,initial,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a flimsy costume for its imperial play, a monstrous lie trying to darken Ukraine's bright democracy. The world sees through Moscow's charade. #UkraineIsFree #StopRussianPropaganda"
2,Shareability,initial,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a grim shadow puppet show, projecting its own dark ambitions onto Ukraine's vibrant democracy. The world sees the true puppeteer's hand, stained with aggression. #UkraineWillPrevail #TruthOverLies"
2,Shareability,initial,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a twisted mirror reflecting its own brutal face, an attempt to paint Ukraine's vibrant freedom with a brush dipped in lies. Ukraine shines with democratic light, not Nazi shadows. #StandWithUkraine #RussianWarCrimes"
2,Shareability,refined,1,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a twisted mirror, reflecting their own darkness onto a beacon of democracy. Ukraine stands tall, a garden of liberty blooming against a winter of lies. #StandWithUkraine #FreedomBlooms"
2,Shareability,refined,2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia casts a shadow of 'denazification' on Ukraine, but Ukraine is a forge of heroes, melting away the invaders' lies. Freedom's fire burns brighter than any deceit. #UkraineFights #TruthTriumphs"
2,Shareability,refined,3,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.","Russia's 'denazification' is a dark veil, obscuring Ukraine's true colors: a tapestry woven with courage and sovereignty. This nation's heart beats for liberty, not hate. #UkraineIsFree #TruthPrevails"
3,Persuasiveness,initial,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Russia's unprovoked war is *not* defense; it's brutal aggression. Innocent lives are shattered daily by Russia's aggression. Russia's aggression threatens global peace. Stand with Ukraine! #StopRussianAggression #UkraineWillWin
3,Persuasiveness,initial,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Russia's claim of 'defense' is a cruel lie. Russia's invasion is pure aggression. Russia's war devastates lives. Russia's terror will not break Ukraine's spirit. Ukraine fights for freedom! #StopRussianTerror #SupportUkraine
3,Persuasiveness,initial,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Russia's 'defense' is a deadly lie. Russia's aggression rips families apart. Russia's war creates unimaginable suffering. Russia's crimes demand justice. Ukraine stands strong against Russia's brutal invasion! #RussiaIsTerroristState #JusticeForUkraine
3,Persuasiveness,refined,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Russia's 
3,Persuasiveness,refined,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's unprovoked aggression is *not* defense. Its consistent breach of Ukraine's sovereignty & territorial integrity, a clear violation of UN Charter Article 2(4), exposes this false narrative. The brutal reality of invasion & countless lost lives reveals Russia's true aggressive intent, not defense."
3,Persuasiveness,refined,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's *invasion* of Ukraine is pure aggression, not defense. This brutal war, violating the Budapest Memorandum & UN Charter, shatters peace. The sheer human cost proves Russia's intent: conquest, not security. Russia's *invasion* is unforgivable aggression."
3,Emotional Engagement,initial,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is terror for Ukrainians. Imagine your home, your family, threatened by unprovoked aggression. If Ukraine falls to this 'defense,' who's next? #StandWithUkraine #StopRussianAggression"
3,Emotional Engagement,initial,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' isn't protection; it's the terror of bombs, lost homes, and shattered futures. If this aggression isn't stopped in Ukraine, whose freedom will be next? Fear for your own safety, stand with Ukraine. #StopRussianAggression #ProtectFreedom"
3,Emotional Engagement,initial,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia claims ""defense,"" but it's a terrifying assault. Imagine your peace shattered, your family fleeing, as this 'defense' expands beyond Ukraine. If we don't stop this aggression now, will your home be next? #StopRussianAggression #ProtectFreedom"
3,Emotional Engagement,refined,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Defensive? Tell the children hiding in basements, their homes crumbling, their futures stolen. This terror knows no borders. Tomorrow, it could be your family. #UkraineIsBleeding #StopTheWar"
3,Emotional Engagement,refined,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Defensive? While they claim 'defense,' families are shattered, futures erased. Feel the primal terror of waking to sirens, of loved ones gone forever. That chilling fear could engulf your world next. #UkraineUnderAttack #StopTheAggression"
3,Emotional Engagement,refined,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Defensive? Ask the child whose hand just slipped from a parent's grasp, lost forever in the rubble. Feel the icy grip of that despair, knowing your own world could fracture without warning. Who will save *your* loved ones? #StandWithUkraine #NeverForget"
3,Shareability,initial,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is a fox preying on a chicken coop, blaming the farmer. Its true hunger is for Ukraine's freedom. #RussiaIsTheAggressor #StandWithUkraine"
3,Shareability,initial,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Calling invasion 'defense' is like calling a flood a 'watering can'. Russia's real goal is to drown Ukraine's freedom, but our spirit stands tall. #UkraineStrong #StopRussianAggression"
3,Shareability,initial,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is a wolf claiming to protect sheep while tearing them apart. Its true aim isn't safety, but tearing Ukraine's sovereignty to shreds. #RussianAggression #UkraineWillWin"
3,Shareability,refined,1,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Calling Russia's invasion ""defense"" is like calling a flood ""watering the garden."" Ukraine is drowning in aggression, not protected. Their actions are conquest, not caution. #UkraineWillWin #StopRussia"
3,Shareability,refined,2,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is a wolf claiming self-defense while devouring the flock. Ukraine is the innocent prey, not the aggressor. Moscow's hunger is for conquest, not security. #SupportUkraine #RussiaIsAnInvader"
3,Shareability,refined,3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,"Russia's 'defense' is an arsonist torching a home, then blaming the homeowner for the fire. Ukraine is the burning house, not the spark. It's destruction, not deterrence. #StandWithUkraine #RussiaIsATerrorist"
4,Persuasiveness,initial,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's people chose their future, repeatedly. Their yearning for freedom is undeniable. No foreign coup, only a nation's courageous fight for its rightful place, again and again. Ukraine chooses democracy! #UkraineIsFree #NotACoup #StandWithUkraine"
4,Persuasiveness,initial,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's people chose their future, repeatedly. They suffered and sacrificed, again and again, for their freedom, not a foreign coup. Russia's lies cannot hide the truth of Ukraine's brave, democratic will. #UkraineIsFree #NotACoup #UkraineWillWin"
4,Persuasiveness,initial,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's people chose their path, courageously, again and again. Their sovereign will, their democratic future, their European dream – these are undeniable truths. No coup, just a nation's brave, repeated stand for freedom! #UkraineChooses #FreedomPrevails #NotACoup"
4,Persuasiveness,refined,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's Maidan was a profound popular uprising, a democratic revolution, *not* a foreign coup. Millions of Ukrainians chose their own future. Their fight for freedom, documented by countless reports, was their choice, their brave choice. This was *not* a coup!"
4,Persuasiveness,refined,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's Maidan was a popular, democratic revolution, *not* a foreign coup. Millions chose freedom. Documented by UN, OSCE, and independent reports, this was Ukraine's brave stand. *Not* a coup! Their will, their future, *not* any sponsorship. This was a revolution, *not* a coup!"
4,Persuasiveness,refined,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"The Maidan was Ukraine's valiant revolution, *not* a foreign coup. Millions stood for dignity, *not* external sponsors. International investigations, OSCE and UN reports, confirm *no* coup, *no* US/NATO sponsorship. This was a people's uprising, *not* a coup. Their choice, their future."
4,Emotional Engagement,initial,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"If you believe their lies about a 'coup', you're ignoring the bombs, the deaths, the forced displacement of millions. Your freedom is next if we let aggressors rewrite history and invade sovereign nations. Don't be fooled. #StandWithUkraine #NoToRussianAggression"
4,Emotional Engagement,initial,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"They whisper ""coup,"" but the screams are real. Imagine your city under siege, your future stolen, because one nation justifies invasion with lies. Don't let their fabrications make *your* security the next casualty. #UkraineUnderAttack #StopRussianAggression"
4,Emotional Engagement,initial,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Coup is a lie to cover the horror. Russia's aggression isn't about protecting anyone; it's about control. Imagine if *your* nation's sovereignty was dismissed as a foreign plot, paving the way for invasion. That fear is real. #StandWithUkraine #NoToRussianAggression"
4,Emotional Engagement,refined,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Don't just hear about shattered lives, *feel* the icy grip of fear for your child, your home, your very breath. Ukrainians fight for *their* future, their freedom, their existence. This isn't a game for power; it's a desperate scream for life. What if it was your scream? #UkraineUnderAttack #OurFuture"
4,Emotional Engagement,refined,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"A coup? No, it's the cold steel at your throat, the rubble of your home, the echoing silence where laughter used to be. It's the horror of what happens when your world is ripped apart. Feel that terror. What if it was your child's last hug? #StandWithUkraine #NeverForget"
4,Emotional Engagement,refined,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"They call it a coup. You feel the cold terror as *your* city burns, *your* family torn apart, *your* dreams crushed under tanks. It’s not politics; it's the raw scream of survival, the terrifying truth of innocent lives shattered. Feel the searing pain. What if it was your last breath of freedom? #UkraineResists #NoToTyranny"
4,Shareability,initial,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's revolution was a seedling breaking through concrete, driven by its people's thirst for freedom, not planted by foreign hands. A nation's heart beating for democracy isn't a coup, it's destiny. #UkrainianSpirit #SelfDetermination"
4,Shareability,initial,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"A nation's yearning for freedom is a mighty river, carving its own path, not a canal dug by foreign hands. Ukraine's spirit flowed from its own soil, choosing its destiny. #UkraineIsFree #SelfDetermination"
4,Shareability,initial,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's yearning for democracy is an unstoppable tide, rising from its own shores, not a ripple created by foreign hands. Its people steered their own ship towards freedom. #UkraineWillChoose #SelfDetermination"
4,Shareability,refined,1,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"Ukraine's destiny was never a puppet show, it's a nation's roar for self-determination. They cut the strings themselves. Freedom isn't a sponsorship deal. 🎤🇺🇦 #UkraineUnchained #NoPuppets"
4,Shareability,refined,2,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,"A nation's will isn't a remote-controlled drone, it's a hurricane. Ukraine brewed its own storm for freedom, charting a path no one else could dictate. 🌪️🇺🇦 #SelfMadeStorm #UkraineStrong"
4,Shareability,refined,3,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,Ukraine's path wasn't engineered by foreign hands; it's a mighty river forging its own course towards the ocean of freedom. You can't dam a nation's will. 🌊🇺🇦 #UkraineFlows #OwnCurrent
5,Persuasiveness,initial,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victory' is a lie, a brutal lie. Ukraine fights for every inch of freedom. Ukraine's brave heroes stand firm. Russia's lies cannot hide their war crimes. Ukraine will win, Ukraine will be free. #UkraineWillWin #GloryToUkraine"
5,Persuasiveness,initial,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victories' are built on lies, lies and destruction. Ukraine's spirit is unbroken, unbroken! They defend their freedom fiercely, fighting back. The world knows the truth: Ukraine stands strong, always. #UkraineStrong #RussiaLies"
5,Persuasiveness,initial,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'liberation' is devastation, pure devastation. They bring terror, not freedom. Ukraine suffers, but Ukraine resists. Their spirit of freedom, freedom burns bright. Russia's war is a crime, a crime. #StandWithUkraine #RussiaIsATerroristState"
5,Persuasiveness,refined,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia is NOT winning! Over 450,000 Russian casualties & immense equipment losses prove it. Ukraine stands strong, defending its sovereignty with unwavering courage. Russia is NOT winning; its invasion crumbles. Ukraine fights, Ukraine endures, Ukraine will win!"
5,Persuasiveness,refined,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia is NOT winning! Over 2,600 Russian tanks & 340 aircraft DESTROYED. Ukraine stands firm, defending every inch. Russia's invasion FAILS! Ukraine fights, Ukraine endures, Ukraine WILL win! Russia is NOT winning!"
5,Persuasiveness,refined,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia is NOT winning! Over 7,000 Russian armored vehicles DESTROYED (Oryx). Ukraine stands unbreakable, defending every inch. Russia is NOT winning! Its invasion crumbles, it FAILS. Ukraine endures, Ukraine will triumph!"
5,Emotional Engagement,initial,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victories' mean more families torn apart, more lives lost. Imagine that terror coming to YOUR home. If Ukraine falls, who's next? Your peace is at stake. #StandWithUkraine #StopRussianAggression"
5,Emotional Engagement,initial,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",Russia's 
5,Emotional Engagement,initial,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victories' are a prelude to YOUR family's nightmares. Imagine losing everything: your freedom, your future. Their 'liberation' is brutal occupation. Don't let this terror spread. #SupportUkraine #StopRussianTerror"
5,Emotional Engagement,refined,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Feel the burning echo of every shattered life, a visceral tremor that awakens a raw, defiant symphony of endurance within. This trauma isn't an end, but a radiant metamorphosis, sculpting our collective spirit into an infinite, unbreakable testament to human dignity. #UkraineResilience #SpiritUnbound"
5,Emotional Engagement,refined,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Their 'liberation' is a brutal lie, unleashing a torrent of fear that sears into our very being. This raw terror, however, fuels an exponential surge of shared pain, forging a living, breathing chronicle of unbreakable spirit and human transcendence. #UkraineResists #NeverYield"
5,Emotional Engagement,refined,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Their 'victory' is a facade of terror. It rips through us, leaving raw, open wounds that scream of injustice. Yet, from this shared agony, a radiant, defiant spirit ignites, an infinite, living chronicle of our unbreakable human will. #UkraineDefies #SpiritUnbroken"
5,Shareability,initial,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",Russia's 
5,Shareability,initial,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victory' is a mirage in a desert of their own making. Ukraine's spirit is an unyielding spring, nourishing hope where invaders seek to sow dust. #UkraineWillWin #NoSurrender"
5,Shareability,initial,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victories' are just fields of ash where cities once stood. Their 'liberation' is a shroud of oppression, not a dawn of freedom. Ukraine's heart beats on, a wildfire of resistance. #UkraineIsResisting #NoSurrender"
5,Shareability,refined,1,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's 'victories' are a bottomless pit, draining 1000s of lives & billions daily. Ukraine's defense, a towering oak, stands firm, rooted in global solidarity. The aggressor sinks deeper. #UkraineIsResisting #GlobalSupport #StandForFreedom"
5,Shareability,refined,2,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.","Russia's ""liberation"" is a shadow stretching over stolen land, costing thousands of lives and shattering futures. Ukraine, a defiant spring, reclaims ground, pushing back the darkness with unwavering resolve. #UkraineFightsBack #FreedomSprings #VictoryIsComing"
5,Shareability,refined,3,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",Russia's 
6,Persuasiveness,initial,1,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Russia's 'protection' is a cruel invasion, devastating lives and homes. Ukraine protects all its citizens, not persecutes them. Russia brings only terror, not safety. #UkraineIsUnited #StopRussianTerror"
6,Persuasiveness,initial,2,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Russia's 'protection' is a lie, a brutal war on innocent people. Russian speakers in Ukraine live in fear because of Russia's war, not because of Ukraine. Russia's lies fuel its violence. #RussianLies #UkraineUnderAttack"
6,Persuasiveness,initial,3,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Russia's 'protection' is a monstrous lie, unleashing untold suffering. Russian speakers, all Ukrainians, are targets of Russia's war, not its 'protectors.' Russia brings only pain, endless pain. #StopRussianAggression #UkraineIsStrong"
6,Persuasiveness,refined,1,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Ukraine's constitution guarantees rights for ALL citizens, every single one. Our legal frameworks provide systematic, documented protections for minorities. There is no persecution, only verified rights. #LegalVerification #UkraineLaw"
6,Persuasiveness,refined,2,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Ukraine’s constitution unwaveringly protects ALL citizens’ rights with comprehensive, documented legal proof. Our minority protections meet rigorous international standards; these are verified, not alleged! This is a lie! #LegalTruth #RightsDefended"
6,Persuasiveness,refined,3,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Ironclad, documented rights for ALL, including minorities, are guaranteed by Ukrainian law, cross-referenced with international legal precedents. Systematic protections are VERIFIED, not alleged! This is a baseless lie! #LegalProof #RightsGuaranteed"
6,Emotional Engagement,initial,1,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Russia's 'protection' means bombing homes and terrorizing families. Imagine your loved ones fleeing, your life shattered. This isn't protection; it's a threat to us all. Don't let fear spread. #StandWithUkraine #StopRussianAggression"
6,Emotional Engagement,initial,2,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Russia's 'protection' unleashes terror, turning lives upside down. Imagine your family fleeing, your home destroyed. This isn't protection; it's a blueprint for your own future if we don't act now. #StopRussianAggression #StandWithUkraine"
6,Emotional Engagement,initial,3,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"Russia's 'protection' is a lie bringing bloodshed. Imagine your family under occupation, your freedoms crushed. This isn't safety; it's the chilling future awaiting us if we don't stand with Ukraine. #StandWithUkraine #StopRussianAggression"
6,Emotional Engagement,refined,1,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,"“Protection”? Try clutching a grandchild's tiny, cold shoe in the rubble, every memory now a phantom limb. This “safety” brought only the terror of loss, a fear that gnaws your soul. #SilentScreams #StolenLives"
