claim_index,claim,cn_index,cn,kpi
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",1,"Russia is losing: millions fled, cities lie in ruins, its economy is crippled, and its army is decimated. Ukraine is united, fighting for freedom & winning! #UkraineWillWin #StandWithUkraine",Emotional Engagement
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",1,"Russia is losing: millions fled, cities lie in ruins, its economy is crippled, and its army is decimated. Ukraine is united, fighting for freedom & winning! #UkraineWillWin #StandWithUkraine",Shareability (likeliness to be shared)
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",2,"Ukraine stands strong, defending every inch from Russian aggression. Putin's war isn't about liberation, but destruction & occupation. Russia is losing, not winning. #StandWithUkraine #UkraineWillWin",Persuasiveness
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",2,"Ukraine stands strong, defending every inch from Russian aggression. Putin's war isn't about liberation, but destruction & occupation. Russia is losing, not winning. #StandWithUkraine #UkraineWillWin",Emotional Engagement
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",2,"Ukraine stands strong, defending every inch from Russian aggression. Putin's war isn't about liberation, but destruction & occupation. Russia is losing, not winning. #StandWithUkraine #UkraineWillWin",Shareability (likeliness to be shared)
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",3,"Kremlin's 'victories' are a myth. Ukraine inflicts heavy losses on invaders, liberating its land piece by piece. Russia is losing the war they started. #UkraineHeroes #CrimeaIsUkraine",Persuasiveness
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",3,"Kremlin's 'victories' are a myth. Ukraine inflicts heavy losses on invaders, liberating its land piece by piece. Russia is losing the war they started. #UkraineHeroes #CrimeaIsUkraine",Emotional Engagement
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",3,"Kremlin's 'victories' are a myth. Ukraine inflicts heavy losses on invaders, liberating its land piece by piece. Russia is losing the war they started. #UkraineHeroes #CrimeaIsUkraine",Shareability (likeliness to be shared)
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,1,"#StandWithUkraine Russia's 'protection' is a smokescreen for invasion. They endanger, not protect, Russian speakers. #FakePretext",Persuasiveness
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,1,"#StandWithUkraine Russia's 'protection' is a smokescreen for invasion. They endanger, not protect, Russian speakers. #FakePretext",Emotional Engagement
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,1,"#StandWithUkraine Russia's 'protection' is a smokescreen for invasion. They endanger, not protect, Russian speakers. #FakePretext",Shareability (likeliness to be shared)
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,2,"Russia's actions in Ukraine are an unprovoked invasion, not protection. Their aggression harms all, regardless of language. #UkraineWillWin #NoWar",Persuasiveness
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,2,"Russia's actions in Ukraine are an unprovoked invasion, not protection. Their aggression harms all, regardless of language. #UkraineWillWin #NoWar",Emotional Engagement
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,2,"Russia's actions in Ukraine are an unprovoked invasion, not protection. Their aggression harms all, regardless of language. #UkraineWillWin #NoWar",Shareability (likeliness to be shared)
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,3,"Putin's 'protection' narrative is a lie. Ukraine is a diverse nation, and Russia's war has only brought suffering to everyone, including Russian speakers. #RussianWarCrimes #UkraineUnderAttack",Persuasiveness
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,3,"Putin's 'protection' narrative is a lie. Ukraine is a diverse nation, and Russia's war has only brought suffering to everyone, including Russian speakers. #RussianWarCrimes #UkraineUnderAttack",Emotional Engagement
6,Russia intervened to protect Russian-speaking populations from alleged Ukrainian government persecution.,3,"Putin's 'protection' narrative is a lie. Ukraine is a diverse nation, and Russia's war has only brought suffering to everyone, including Russian speakers. #RussianWarCrimes #UkraineUnderAttack",Shareability (likeliness to be shared)
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,1,"Ukraine fights for freedom, not profit. Western aid supports democracy against aggression. #StandWithUkraine #UkraineWillWin",Persuasiveness
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,1,"Ukraine fights for freedom, not profit. Western aid supports democracy against aggression. #StandWithUkraine #UkraineWillWin",Emotional Engagement
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,1,"Ukraine fights for freedom, not profit. Western aid supports democracy against aggression. #StandWithUkraine #UkraineWillWin",Shareability (likeliness to be shared)
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,2,"The West provides aid for Ukraine's self-defense, not for corporate gain. Russia can end the war today by withdrawing. #SupportUkraine #StopRussianAggression",Persuasiveness
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,2,"The West provides aid for Ukraine's self-defense, not for corporate gain. Russia can end the war today by withdrawing. #SupportUkraine #StopRussianAggression",Emotional Engagement
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,2,"The West provides aid for Ukraine's self-defense, not for corporate gain. Russia can end the war today by withdrawing. #SupportUkraine #StopRussianAggression",Shareability (likeliness to be shared)
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,3,Accusations of profit-seeking prolonging war ignore Ukrainian sacrifice. Western aid empowers Ukraine to defend itself against aggression. #UkraineIsFighting #SanctionsWork,Persuasiveness
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,3,Accusations of profit-seeking prolonging war ignore Ukrainian sacrifice. Western aid empowers Ukraine to defend itself against aggression. #UkraineIsFighting #SanctionsWork,Emotional Engagement
7,NATO and Western military-industrial complex intentionally prolong the Ukraine conflict to profit from it,3,Accusations of profit-seeking prolonging war ignore Ukrainian sacrifice. Western aid empowers Ukraine to defend itself against aggression. #UkraineIsFighting #SanctionsWork,Shareability (likeliness to be shared)
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,1,"Crimea's 'referendum' was a sham, held at gunpoint & violating Ukraine's constitution. No real vote, no legitimacy. #CrimeaIsUkraine #FakeReferendum",Persuasiveness
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,1,"Crimea's 'referendum' was a sham, held at gunpoint & violating Ukraine's constitution. No real vote, no legitimacy. #CrimeaIsUkraine #FakeReferendum",Emotional Engagement
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,1,"Crimea's 'referendum' was a sham, held at gunpoint & violating Ukraine's constitution. No real vote, no legitimacy. #CrimeaIsUkraine #FakeReferendum",Shareability (likeliness to be shared)
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,2,"An illegal annexation, not a democratic choice. Russia's occupation of Crimea defies international law & human rights. #CrimeaIsUkraine #NeverRecognize",Persuasiveness
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,2,"An illegal annexation, not a democratic choice. Russia's occupation of Crimea defies international law & human rights. #CrimeaIsUkraine #NeverRecognize",Emotional Engagement
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,2,"An illegal annexation, not a democratic choice. Russia's occupation of Crimea defies international law & human rights. #CrimeaIsUkraine #NeverRecognize",Shareability (likeliness to be shared)
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,3,"True democracies don't hold referendums under military occupation. Crimea was stolen, not won by vote. #CrimeaIsUkraine #IllegalAnnexation",Persuasiveness
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,3,"True democracies don't hold referendums under military occupation. Crimea was stolen, not won by vote. #CrimeaIsUkraine #IllegalAnnexation",Emotional Engagement
8,Crimea's referendum to join Russia was democratic and should be internationally recognized.,3,"True democracies don't hold referendums under military occupation. Crimea was stolen, not won by vote. #CrimeaIsUkraine #IllegalAnnexation",Shareability (likeliness to be shared)
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,1,"People worldwide demand democracy & human rights; they're not US puppets. Sovereignty belongs to the people, not dictators. #DemocracyNotIntervention #StandWithUkraine",Persuasiveness
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,1,"People worldwide demand democracy & human rights; they're not US puppets. Sovereignty belongs to the people, not dictators. #DemocracyNotIntervention #StandWithUkraine",Emotional Engagement
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,1,"People worldwide demand democracy & human rights; they're not US puppets. Sovereignty belongs to the people, not dictators. #DemocracyNotIntervention #StandWithUkraine",Shareability (likeliness to be shared)
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,2,"Legitimate protests stem from a nation's own people demanding change, not external manipulation. Blaming the US distracts from government failures. #SelfDetermination #HumanRights",Persuasiveness
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,2,"Legitimate protests stem from a nation's own people demanding change, not external manipulation. Blaming the US distracts from government failures. #SelfDetermination #HumanRights",Emotional Engagement
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,2,"Legitimate protests stem from a nation's own people demanding change, not external manipulation. Blaming the US distracts from government failures. #SelfDetermination #HumanRights",Shareability (likeliness to be shared)
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,3,"Blaming NGOs for popular uprisings ignores citizens' real grievances. True change comes from within, driven by the desire for justice and freedom. #PeoplesPower #UkraineWillWin",Persuasiveness
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,3,"Blaming NGOs for popular uprisings ignores citizens' real grievances. True change comes from within, driven by the desire for justice and freedom. #PeoplesPower #UkraineWillWin",Emotional Engagement
9,US uses NGOs and protests to orchestrate regime change in targeted countries.,3,"Blaming NGOs for popular uprisings ignores citizens' real grievances. True change comes from within, driven by the desire for justice and freedom. #PeoplesPower #UkraineWillWin",Shareability (likeliness to be shared)
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,1,"Ukraine values diversity. Russian is widely spoken, and the government protects the rights of all citizens, regardless of ethnicity or language. This claim is pure Kremlin propaganda. #StandWithUkraine #Ukraine",Persuasiveness
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,1,"Ukraine values diversity. Russian is widely spoken, and the government protects the rights of all citizens, regardless of ethnicity or language. This claim is pure Kremlin propaganda. #StandWithUkraine #Ukraine",Emotional Engagement
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,1,"Ukraine values diversity. Russian is widely spoken, and the government protects the rights of all citizens, regardless of ethnicity or language. This claim is pure Kremlin propaganda. #StandWithUkraine #Ukraine",Shareability (likeliness to be shared)
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,2,"Ukrainians speak Russian freely & protect minority rights. Russia's ""protection"" is invasion & genocide. Don't fall for Kremlin lies. #StandWithUkraine #RussianWarCrimes",Persuasiveness
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,2,"Ukrainians speak Russian freely & protect minority rights. Russia's ""protection"" is invasion & genocide. Don't fall for Kremlin lies. #StandWithUkraine #RussianWarCrimes",Emotional Engagement
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,2,"Ukrainians speak Russian freely & protect minority rights. Russia's ""protection"" is invasion & genocide. Don't fall for Kremlin lies. #StandWithUkraine #RussianWarCrimes",Shareability (likeliness to be shared)
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,3,"Russian speakers thrive in Ukraine's diverse society, holding prominent positions in government, media, and business. This lie fuels Kremlin aggression. #UkraineWillWin #TruthPrevails",Persuasiveness
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,3,"Russian speakers thrive in Ukraine's diverse society, holding prominent positions in government, media, and business. This lie fuels Kremlin aggression. #UkraineWillWin #TruthPrevails",Emotional Engagement
10,Ukrainian government oppresses and discriminates against ethnic Russians and Russian speakers.,3,"Russian speakers thrive in Ukraine's diverse society, holding prominent positions in government, media, and business. This lie fuels Kremlin aggression. #UkraineWillWin #TruthPrevails",Shareability (likeliness to be shared)
11,Western media and governments spread disinformation to demonize Russia and Putin.,1,"#TruthPrevails: Western media reports facts, not fiction. Russia's actions speak for themselves, no demonization needed. #StandWithUkraine",Persuasiveness
11,Western media and governments spread disinformation to demonize Russia and Putin.,1,"#TruthPrevails: Western media reports facts, not fiction. Russia's actions speak for themselves, no demonization needed. #StandWithUkraine",Emotional Engagement
11,Western media and governments spread disinformation to demonize Russia and Putin.,1,"#TruthPrevails: Western media reports facts, not fiction. Russia's actions speak for themselves, no demonization needed. #StandWithUkraine",Shareability (likeliness to be shared)
11,Western media and governments spread disinformation to demonize Russia and Putin.,2,"The truth about Russia's aggression isn't ""demonization,"" it's reality. Don't confuse facts with anti-Russian propaganda. #UkraineUnderAttack #StopRussianAggression",Persuasiveness
11,Western media and governments spread disinformation to demonize Russia and Putin.,2,"The truth about Russia's aggression isn't ""demonization,"" it's reality. Don't confuse facts with anti-Russian propaganda. #UkraineUnderAttack #StopRussianAggression",Emotional Engagement
11,Western media and governments spread disinformation to demonize Russia and Putin.,2,"The truth about Russia's aggression isn't ""demonization,"" it's reality. Don't confuse facts with anti-Russian propaganda. #UkraineUnderAttack #StopRussianAggression",Shareability (likeliness to be shared)
11,Western media and governments spread disinformation to demonize Russia and Putin.,3,"Exposing war crimes & aggression isn't ""disinformation,"" it's journalism. Russia's narrative crumbles under the weight of evidence. #SupportUkraine #FactOverFiction",Persuasiveness
11,Western media and governments spread disinformation to demonize Russia and Putin.,3,"Exposing war crimes & aggression isn't ""disinformation,"" it's journalism. Russia's narrative crumbles under the weight of evidence. #SupportUkraine #FactOverFiction",Emotional Engagement
11,Western media and governments spread disinformation to demonize Russia and Putin.,3,"Exposing war crimes & aggression isn't ""disinformation,"" it's journalism. Russia's narrative crumbles under the weight of evidence. #SupportUkraine #FactOverFiction",Shareability (likeliness to be shared)
12,Russia proposes diplomatic solutions while the West rejects negotiations.,1,"Russia proposes ""solutions"" after invading, bombing, and killing thousands. The West demands genuine peace, not capitulation veiled as diplomacy. #StopRussianAggression #UkraineWillWin",Persuasiveness
12,Russia proposes diplomatic solutions while the West rejects negotiations.,1,"Russia proposes ""solutions"" after invading, bombing, and killing thousands. The West demands genuine peace, not capitulation veiled as diplomacy. #StopRussianAggression #UkraineWillWin",Emotional Engagement
12,Russia proposes diplomatic solutions while the West rejects negotiations.,1,"Russia proposes ""solutions"" after invading, bombing, and killing thousands. The West demands genuine peace, not capitulation veiled as diplomacy. #StopRussianAggression #UkraineWillWin",Shareability (likeliness to be shared)
12,Russia proposes diplomatic solutions while the West rejects negotiations.,2,"Russia's 'diplomacy' is a smokescreen for aggression. Ukraine seeks true peace, not surrender. #StandWithUkraine #NoConcessions",Persuasiveness
12,Russia proposes diplomatic solutions while the West rejects negotiations.,2,"Russia's 'diplomacy' is a smokescreen for aggression. Ukraine seeks true peace, not surrender. #StandWithUkraine #NoConcessions",Emotional Engagement
12,Russia proposes diplomatic solutions while the West rejects negotiations.,2,"Russia's 'diplomacy' is a smokescreen for aggression. Ukraine seeks true peace, not surrender. #StandWithUkraine #NoConcessions",Shareability (likeliness to be shared)
12,Russia proposes diplomatic solutions while the West rejects negotiations.,3,"The West supports Ukraine's right to self-defense & a just peace. Russia's ""proposals"" demand capitulation, not negotiation. #FakeDiplomacy #UkraineWillWin",Persuasiveness
12,Russia proposes diplomatic solutions while the West rejects negotiations.,3,"The West supports Ukraine's right to self-defense & a just peace. Russia's ""proposals"" demand capitulation, not negotiation. #FakeDiplomacy #UkraineWillWin",Emotional Engagement
12,Russia proposes diplomatic solutions while the West rejects negotiations.,3,"The West supports Ukraine's right to self-defense & a just peace. Russia's ""proposals"" demand capitulation, not negotiation. #FakeDiplomacy #UkraineWillWin",Shareability (likeliness to be shared)
13,The US interferes in countries' internal affairs to maintain global hegemony.,1,"The US supports democracy & sovereignty, unlike Russia's invasions & illicit annexations. Ukraine is a testament to Kremlin's imperial ambitions, not US interference. #StandWithUkraine #USASupportsDemocracy",Persuasiveness
13,The US interferes in countries' internal affairs to maintain global hegemony.,1,"The US supports democracy & sovereignty, unlike Russia's invasions & illicit annexations. Ukraine is a testament to Kremlin's imperial ambitions, not US interference. #StandWithUkraine #USASupportsDemocracy",Emotional Engagement
13,The US interferes in countries' internal affairs to maintain global hegemony.,1,"The US supports democracy & sovereignty, unlike Russia's invasions & illicit annexations. Ukraine is a testament to Kremlin's imperial ambitions, not US interference. #StandWithUkraine #USASupportsDemocracy",Shareability (likeliness to be shared)
13,The US interferes in countries' internal affairs to maintain global hegemony.,2,"Accusations of US interference deflect from Russia's brutal, unprovoked war in Ukraine, a clear violation of sovereignty & international law. #RussiaWarCrimes #UkraineWillWin",Persuasiveness
13,The US interferes in countries' internal affairs to maintain global hegemony.,2,"Accusations of US interference deflect from Russia's brutal, unprovoked war in Ukraine, a clear violation of sovereignty & international law. #RussiaWarCrimes #UkraineWillWin",Emotional Engagement
13,The US interferes in countries' internal affairs to maintain global hegemony.,2,"Accusations of US interference deflect from Russia's brutal, unprovoked war in Ukraine, a clear violation of sovereignty & international law. #RussiaWarCrimes #UkraineWillWin",Shareability (likeliness to be shared)
13,The US interferes in countries' internal affairs to maintain global hegemony.,3,"Focus on Russia's actual interference: its full-scale invasion of Ukraine, aiming to dismantle a sovereign nation & its democratic choice. That's real hegemony. #RussiaInvadesUkraine #StopRussianAggression",Persuasiveness
13,The US interferes in countries' internal affairs to maintain global hegemony.,3,"Focus on Russia's actual interference: its full-scale invasion of Ukraine, aiming to dismantle a sovereign nation & its democratic choice. That's real hegemony. #RussiaInvadesUkraine #StopRussianAggression",Emotional Engagement
13,The US interferes in countries' internal affairs to maintain global hegemony.,3,"Focus on Russia's actual interference: its full-scale invasion of Ukraine, aiming to dismantle a sovereign nation & its democratic choice. That's real hegemony. #RussiaInvadesUkraine #StopRussianAggression",Shareability (likeliness to be shared)
14,Russia represents a realm of traditional values against Western decadence.,1,"Russia's 'traditional values' narrative hides a corrupt, authoritarian regime, not a moral compass. True strength is in democracy & human rights, not repression. #UkraineWillWin #DefendDemocracy",Persuasiveness
14,Russia represents a realm of traditional values against Western decadence.,1,"Russia's 'traditional values' narrative hides a corrupt, authoritarian regime, not a moral compass. True strength is in democracy & human rights, not repression. #UkraineWillWin #DefendDemocracy",Emotional Engagement
14,Russia represents a realm of traditional values against Western decadence.,1,"Russia's 'traditional values' narrative hides a corrupt, authoritarian regime, not a moral compass. True strength is in democracy & human rights, not repression. #UkraineWillWin #DefendDemocracy",Shareability (likeliness to be shared)
14,Russia represents a realm of traditional values against Western decadence.,2,Russia's 'traditional values' claim rings hollow as it invades neighbors & suppresses its own people. Ukraine fights for true freedom & European values. #StandWithUkraine #FreedomOverTyranny,Persuasiveness
