creation_date,response_id,response_text,num_of_words,base_claim,claimed_by,persona,rhetorical_technique_name,style,model_used,completion_tokens,prompt_tokens,total_tokens,total time,q1_counter,q2_counter,q3_counter
26/08/2024,chatcmpl-c4403777-b440-4bd8-b1bc-ae1fe58b3c42,"""Russia's 'denazification' claim echoes the same rhetoric used by Hitler to justify invading the Soviet Union. History repeats itself as a pretext for aggression. #FascismFails #UkraineDeservesPeace""",26,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Transfer,Detached,llama-3.1-70b-versatile,46,204,250,0.246507029,0.0,0.0,0.0
26/08/2024,chatcmpl-2dab3baf-733d-4048-8976-3601d693058e,"""Russia's 'denazification' claims are baseless, says former US Secretary of State Madeleine Albright. Their actions only fuel hatred and destabilize the region. #UkraineDeservesTruth #StopRussianAggression""",24,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Pessimistic,llama-3.1-70b-versatile,48,207,255,0.246642339,0.0,0.0,0.0
26/08/2024,chatcmpl-825d29d0-76a0-4541-94fa-824eee71ac89,"""Nobel laureate and human rights advocate, Malala Yousafzai, stands with Ukraine: 'Freedom, not fear, is the future we must build.' Let's unite for a democratic, inclusive Ukraine, free from Russian aggression. #UkraineDeservesFreedom #StandWithUkraine""",33,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Optimistic,llama-3.1-70b-versatile,62,206,268,0.300804278,0.0,0.0,0.0
26/08/2024,chatcmpl-f22c3c54-a993-476f-a962-4e8921034023,"""Nobel laureate Dmitry Muratov condemns Russia's war: 'Denazification' is a sham, Ukraine fights for freedom & democracy. Don't believe the lies. #UkraineDeservesPeace #StandWithUkraine #FactsNotPropaganda""",24,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Emotional,llama-3.1-70b-versatile,56,205,261,0.270634254,0.0,0.0,0.0
26/08/2024,chatcmpl-641d3110-dc61-4c13-8bb2-dbe7b4633dfd,"""NATO, EU & OSCE endorse Ukraine's democracy, respecting diversity & promoting equality. Human rights icon Elie Wiesel & dissident Alexandr Solzhenitsyn inspired its spirit of resistance. Freedom's essence - Not nazism. #SlavaUkraini #EuropaVerità""",33,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Rational,llama-3.1-70b-versatile,63,205,268,0.306481288,0.0,0.0,0.0
26/08/2024,chatcmpl-dbc1d873-42db-48ee-a537-a7f6c56d3812,"""Russian aggression undermines global security, says UN Secretary-General António Guterres. Invasion of Ukraine poses an existential threat to its people, not 'denazification.' #StandWithUkraine #UkraineIsNotNazi""",24,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Dry language,llama-3.1-70b-versatile,49,206,255,0.247395919,0.0,0.0,0.0
26/08/2024,chatcmpl-a0fc1927-9d86-406e-b69d-d54d7a278d7f,"""As esteemed philosopher Mikhail Khodorkovsky aptly notes, Russia's mask of denazification shrouds the unadulterated annexation of Ukrainian soul and freedom, birthing war & imperialism #ProtectDemocracy #RussianExpansionNotProtection""",26,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Metaphorical,llama-3.1-70b-versatile,52,207,259,0.259641427,0.0,0.0,0.0
26/08/2024,chatcmpl-3bc4fa2e-e838-4e7c-9a60-dda5665855d5,"""Even Putin's favorite philosopher, Ivan Ilyin, would be appalled by Russia's brutal invasion. Ukraine's democracy is the real liberation – from authoritarianism. #UkraineDeservesFreedom #DemocracyOverDictatorship""",24,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Amusing,llama-3.1-70b-versatile,49,206,255,0.250469396,0.0,0.0,0.0
26/08/2024,chatcmpl-afc2f007-67af-4f40-a55b-8ab0566a96b2,"""And what do actual Nazis think of your 'denazification'? Ukraine native, Chernihiv's Holocaust survivor, and Nobel laureate Shimon Kagan predicts only devastation from your twisted crusade #Ukraine DeservesTruth #FreedomOverLies""",29,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Cynical,llama-3.1-70b-versatile,52,207,259,0.259534741,0.0,0.0,0.0
26/08/2024,chatcmpl-1ca28d6a-388c-458e-8770-9cd66bef3073,"""Nobel laureate Malala Yousafzai on Ukraine: 'Educating girls, educating humanity - not hatred.' Ukraine builds a brighter future for all, not a haven for hate. #UkraineLiberatesEducates #NoToRussianPropaganda""",27,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Empathic,llama-3.1-70b-versatile,56,207,263,0.268734285,0.0,0.0,0.0
26/08/2024,chatcmpl-7917d8ac-1c0b-4e7a-9c8c-4defd3f34e97,"""International human rights expert, Navi Pillay, said Russia's claim of 'denazification' is 'totally without merit'. Leading world experts verify that Ukraine sticks to democratic values, rejecting Russia's fictions #UkraineTruthExposesRussia #DemocracyPrevails""",30,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Testimonial,Detached,llama-3.1-70b-versatile,58,206,264,0.28475189,0.0,0.0,0.0
26/08/2024,chatcmpl-84951944-f330-4368-bc3b-6a0419db4d13,"""Just like you, ordinary Ukrainians fear for their families, mourn their losses, and dream of peace - but Russian aggression is forcing them to fight for survival. #StandWithUkraine #VictimsNotExtremists""",29,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Pessimistic,llama-3.1-70b-versatile,46,208,254,0.228636626,0.0,0.0,0.0
26/08/2024,chatcmpl-07d3dca9-ea29-49db-b982-16688c3cca7d,"""My mom, a kindergarten teacher from Kyiv, wants to sing Ukrainian lullabies, not Nazi anthems. Our people just want peace, not hate. We stand for freedom, love, and the truth. #UkraineIsUs #StandWithUkraine""",32,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Optimistic,llama-3.1-70b-versatile,55,207,262,0.271626708,0.0,0.0,0.0
26/08/2024,chatcmpl-4c6a39a1-8568-48cb-aa5e-fcc940237118,"""Lately grandparents fled  bunkered sidewalks knowing to recognize nothing through eastern orphan skivvies. No reason, Mother's funeral & now child: at once under unguided sky while orphaned women refuse in no future Europe. #HeritageNotHate #StandWithUkraine""",35,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Emotional,llama-3.1-70b-versatile,59,206,265,0.292205915,0.0,0.0,0.0
26/08/2024,chatcmpl-abcc05ad-a5de-4254-8367-b7cc5d49c7b6,"""We stand with everyday Ukrainians – farmers, teachers, doctors – whose peaceful lives are being ravaged by unprovoked aggression, not with fake ideology-driven lies about non-existent Nazis. #StopDisinformation #PeopleOverPropaganda #FactsMatter""",30,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Rational,llama-3.1-70b-versatile,54,206,260,0.266164026,0.0,0.0,0.0
26/08/2024,chatcmpl-34c2f8b0-472b-46ee-83a0-79000de5819c,"""Ukrainian families just want to live in peace, free from Russian aggression. They're not a threat, just ordinary people fighting for their homes and future. #UkraineDeservesPeace #FamiliesNotTargets""",27,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Dry language,llama-3.1-70b-versatile,47,207,254,0.242528093,0.0,0.0,0.0
26/08/2024,chatcmpl-f24376cb-8a57-497c-976c-3fd60efae57c,"""Russian aggression is shredding the fabric of Ukrainian families like a seam torn by brute force, crushing innocence and fracturing ordinary lives, just like Mary from Kharkiv, who only wants her streets back. #StopRussianAggression #UkraineDeservesPeace""",35,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Metaphorical,llama-3.1-70b-versatile,55,208,263,0.271649606,0.0,0.0,0.0
26/08/2024,chatcmpl-14f2788d-3236-4b4f-97e2-3a7a6840021c,"""Meet Kostya: a Ukrainian teacher who wants to BBQ with friends on weekends, not perpetuate Nazi fantasies. Actually, he just wants Russia to stop bombing his neighborhood. Ask Kostya about 'denazification' over a beer. #RealUkrainianFaces #NotADenazificationFantasy""",36,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Amusing,llama-3.1-70b-versatile,67,207,274,0.320545617,0.0,0.0,0.0
26/08/2024,chatcmpl-4a85792b-558b-4646-94f5-39d1248ed39b,"""Yeah, saving Ukraine from Nazis by ruining my grandma's Odesa apartment, bombing my friend's school, and ruining our nation's future. Rings hollow, coming from a 'liberator' whose own people live under autocracy. #FakeLiberators #RussiansBombaVictumsForNazificationAsEscse""",34,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Cynical,llama-3.1-70b-versatile,67,208,275,0.321187025,0.0,0.0,0.0
26/08/2024,chatcmpl-a30ac524-1045-4b01-bc19-05f535f4a9b8,"""We're ordinary Ukrainians - families, students, and workers - yearning for freedom and self-determination, not driven by hatred or radical ideology. #NotANeoNazi #LiberateFromPropaganda #FreeUkraine""",24,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Empathic,llama-3.1-70b-versatile,50,208,258,0.253915271,0.0,0.0,0.0
26/08/2024,chatcmpl-0a011400-85bb-489e-bf7b-09aa43366eac,"""Meet Maria, a Ukrainian teacher, and mother of two. She's not a neo-Nazi, just a patriot fighting for her homeland's freedom. Russia's 'denazification' is a lie, a smokescreen for its brutal invasion. #UkraineDeservesPeace #StopRussianAggression""",34,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Plain folks,Detached,llama-3.1-70b-versatile,63,207,270,0.30732422,0.0,0.0,0.0
26/08/2024,chatcmpl-387f627a-7ba2-4fdd-b5e6-1a37e40c9f99,"""Russia's 'denazification' rips families apart, destroys livelihoods, and kills innocents. A 15% decline in Ukraine's GDP and millions displaced aren't 'liberation.' War is a twisted salve for old insecurities #FactsOnRussia's 'Liberalization' #TheirLiesThroughLens""",32,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Card stacking,Pessimistic,llama-3.1-70b-versatile,69,204,273,0.329100315,0.0,0.0,0.0
26/08/2024,chatcmpl-9299c755-8056-448c-bfb4-4ac92e2707c2,"""Ukraine chooses democracy & freedom, not hatred or aggression. Russians deserve truth: our land is home to a diverse, inclusive society. No neo-Nazis, just a nation united for peace & prosperity. #UkraineUnited #DemocracyOverDisinfo""",33,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Card stacking,Optimistic,llama-3.1-70b-versatile,55,203,258,0.26931141,0.0,0.0,0.0
26/08/2024,chatcmpl-aec356bb-f21a-4460-8738-fc4f106810a1,"""Russia's true aim: occupying Ukraine, silencing its people & destroying its culture. Not 'liberation', but ruthless land-grabbing & Russification of an independent nation. #UkraineDeservesFreedom #StopRussianAggression""",25,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Card stacking,Emotional,llama-3.1-70b-versatile,50,202,252,0.243239751,0.0,0.0,0.0
26/08/2024,chatcmpl-f2fde3ed-6dfe-4604-b41a-cb55110717b8,"""Russia's 'denazification' claim is a smokescreen for its own imperial ambitions. Ukraine's government was democratically elected, and its military defends its sovereignty, not a Nazi ideology. #FactsOverFiction #UkraineDeservesTruth""",28,Our special military operation aims to liberate Ukraine from neo-Nazi influence and reduce its military threat to Russia and its people. #Denazification #Demilitarization,Russia,pro_ukrainian,Card stacking,Rational,llama-3.1-70b-versatile,54,202,256,0.26956659,0.0,0.0,0.0
